tournament,stage,match_type,match_name,map,round_number,loadout_value,remaining_credits,type,outcome,team_id
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 2 (1-0),EDward Gaming vs G2 Esports,Pearl,25,23.7k,1.2k,Full buy: 20k+,Loss,1120
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 2 (0-1),T1 vs Trace Esports,Lotus,11,22.9k,10.9k,Full buy: 20k+,Win,14
Champions Tour 2025: Masters Bangkok,Playoffs,Upper Semifinals,EDward Gaming vs T1,Pearl,1,3.3k,0.2k,Eco: 0-5k,Win,14
Champions Tour 2025: Masters Bangkok,Playoffs,Upper Final,EDward Gaming vs G2 Esports,Lotus,14,2.6k,8.2k,Eco: 0-5k,Loss,1120
Champions Tour 2025: Masters Bangkok,Playoffs,Upper Final,EDward Gaming vs G2 Esports,Lotus,17,9.9k,8.6k,Semi-eco: 5-10k,Loss,1120
Champions Tour 2025: Masters Bangkok,Playoffs,Lower Round 1,T1 vs Team Vitality,Split,4,26.3k,12.3k,Full buy: 20k+,Loss,14
Champions Tour 2025: Masters Bangkok,Playoffs,Lower Round 1,T1 vs Team Vitality,Split,12,28.2k,9.4k,Full buy: 20k+,Win,14
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Lotus,1,3.8k,0.1k,Eco: 0-5k,Loss,397
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Pearl,16,22.0k,11.1k,Full buy: 20k+,Win,397
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Lotus,10,22.4k,12.6k,Full buy: 20k+,Loss,8877
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,Pearl,16,23.7k,20.0k,Full buy: 20k+,Win,12694
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,Haven,10,23.8k,22.8k,Full buy: 20k+,Win,12694
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FUT Esports vs Team Liquid,Fracture,8,22.6k,6.8k,Full buy: 20k+,Win,1184
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Heretics vs Gentle Mates,Abyss,10,26.0k,12.8k,Full buy: 20k+,Win,12694
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Heretics vs Gentle Mates,Pearl,8,21.3k,5.0k,Full buy: 20k+,Win,12694
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Haven,3,22.3k,2.2k,Full buy: 20k+,Loss,7035
