tournament,stage,match_type,match_name,map,round_number,loadout_value,remaining_credits,type,outcome,team_id
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs Karmine Corp,Icebox,3,21.0k,0.8k,Full buy: 20k+,Win,8877
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs Karmine Corp,Fracture,8,22.4k,17.2k,Full buy: 20k+,Win,397
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs Karmine Corp,Fracture,15,21.1k,0.8k,Full buy: 20k+,Win,8877
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 1,FUT Esports vs KOI,Pearl,1,3.3k,0.1k,Eco: 0-5k,Win,7035
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Gentle Mates,Haven,17,22.2k,13.9k,Full buy: 20k+,Win,12694
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 2,KOI vs Karmine Corp,Icebox,7,21.0k,6.9k,Full buy: 20k+,Loss,8877
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 2,KOI vs Karmine Corp,Icebox,17,23.5k,25.7k,Full buy: 20k+,Loss,7035
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 4,Gentle Mates vs BBL Esports,Haven,14,16.8k,2.1k,Semi-buy: 10-20k,Win,397
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,Lotus,2,1.4k,9.2k,Eco: 0-5k,Loss,2593
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 4,Natus Vincere vs Team Heretics,Pearl,21,24.0k,8.4k,Full buy: 20k+,Win,1001
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 5,BBL Esports vs FUT Esports,Ascent,18,22.6k,5.1k,Full buy: 20k+,Win,1184
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 5,Gentle Mates vs KOI,Icebox,8,21.7k,4.5k,Full buy: 20k+,Loss,12694
Champions Tour 2025: EMEA Stage 1,Playoffs,Upper Round 1,BBL Esports vs Natus Vincere,Lotus,6,20.9k,9.3k,Full buy: 20k+,Win,4915
Champions Tour 2025: EMEA Stage 1,Playoffs,Lower Round 1,Natus Vincere vs Karmine Corp,Split,12,17.1k,1.2k,Semi-buy: 10-20k,Loss,8877
Champions Tour 2025: EMEA Stage 1,Playoffs,Lower Round 2,Team Liquid vs Natus Vincere,Split,5,21.6k,9.3k,Full buy: 20k+,Loss,4915
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 1,TALON vs Team Secret,Fracture,13,3.7k,0.3k,Eco: 0-5k,Win,8304
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 1,Gen.G vs BOOM Esports,Haven,13,3.7k,0.2k,Eco: 0-5k,Loss,466
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Lotus,9,17.2k,3.6k,Semi-buy: 10-20k,Loss,624
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Fracture,9,19.2k,4.5k,Semi-buy: 10-20k,Win,624
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 2,TALON vs Rex Regum Qeon,Ascent,8,24.8k,11.4k,Full buy: 20k+,Win,878
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 2,BOOM Esports vs Global Esports,Lotus,6,24.4k,4.3k,Full buy: 20k+,Win,466
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs ZETA DIVISION,Split,19,24.6k,36.6k,Full buy: 20k+,Win,878
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,Paper Rex vs BOOM Esports,Pearl,13,3.7k,0.2k,Eco: 0-5k,Loss,624
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,DRX vs Global Esports,Ascent,7,23.4k,19.4k,Full buy: 20k+,Win,8185
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,DRX vs Global Esports,Ascent,16,20.6k,0.5k,Full buy: 20k+,Loss,918
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,DRX vs Global Esports,Split,15,17.0k,13.0k,Semi-buy: 10-20k,Loss,918
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,DRX vs Global Esports,Split,22,15.0k,0.4k,Semi-buy: 10-20k,Win,918
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,DRX vs BOOM Esports,Haven,3,22.1k,11.3k,Full buy: 20k+,Win,8185
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,DRX vs BOOM Esports,Haven,18,11.0k,8.9k,Semi-buy: 10-20k,Loss,8185
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,T1 vs Rex Regum Qeon,Pearl,14,2.4k,9.9k,Eco: 0-5k,Loss,14
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,T1 vs Rex Regum Qeon,Lotus,2,3.1k,8.6k,Eco: 0-5k,Loss,878
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs Paper Rex,Ascent,1,3.8k,0.2k,Eco: 0-5k,Win,624
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs Paper Rex,Lotus,12,29.0k,23.7k,Full buy: 20k+,Win,624
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 5,T1 vs TALON,Haven,11,22.4k,17.2k,Full buy: 20k+,Win,8304
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 5,DRX vs Gen.G,Split,15,22.3k,13.6k,Full buy: 20k+,Loss,8185
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 5,DRX vs Gen.G,Split,23,21.2k,1.0k,Full buy: 20k+,Loss,17
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs Team Secret,Haven,2,17.3k,0.4k,Semi-buy: 10-20k,Win,6199
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs Team Secret,Lotus,14,2.2k,8.5k,Eco: 0-5k,Win,6199
Champions Tour 2025: Pacific Stage 1,Playoffs,Upper Round 1,TALON vs Gen.G,Haven,12,27.2k,10.8k,Full buy: 20k+,Loss,8304
Champions Tour 2025: Pacific Stage 1,Playoffs,Upper Round 1,TALON vs Gen.G,Icebox,15,19.1k,7.7k,Semi-buy: 10-20k,Win,17
Champions Tour 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Rex Regum Qeon vs DRX,Lotus,17,9.4k,6.8k,Semi-eco: 5-10k,Loss,8185
Champions Tour 2025: Pacific Stage 1,Playoffs,Lower Round 1,TALON vs Nongshim RedForce,Haven,2,10.5k,1.1k,Semi-buy: 10-20k,Win,8304
Champions Tour 2025: Pacific Stage 1,Playoffs,Lower Round 2,DRX vs TALON,Icebox,16,21.9k,2.1k,Full buy: 20k+,Loss,8304
Champions Tour 2025: Pacific Stage 1,Playoffs,Lower Round 3,DRX vs Paper Rex,Lotus,20,21.7k,0.5k,Full buy: 20k+,Loss,624
Champions Tour 2025: Americas Stage 1,Group Stage,Week 1,2Game Esports vs Evil Geniuses,Haven,5,21.2k,6.9k,Full buy: 20k+,Win,15072
Champions Tour 2025: Americas Stage 1,Group Stage,Week 2,NRG vs FURIA,Lotus,2,17.0k,3.3k,Semi-buy: 10-20k,Win,2406
Champions Tour 2025: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Evil Geniuses,Fracture,14,2.6k,8.2k,Eco: 0-5k,Win,120
Champions Tour 2025: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Evil Geniuses,Haven,2,16.2k,2.2k,Semi-buy: 10-20k,Win,120
Champions Tour 2025: Americas Stage 1,Group Stage,Week 2,LEVIATÁN vs Cloud9,Split,4,20.2k,2.0k,Full buy: 20k+,Win,188
Champions Tour 2025: Americas Stage 1,Group Stage,Week 4,100 Thieves vs 2Game Esports,Ascent,27,23.7k,0.9k,Full buy: 20k+,Win,120
Champions Tour 2025: Americas Stage 1,Playoffs,Upper Round 1,Sentinels vs Cloud9,Ascent,2,2.4k,8.2k,Eco: 0-5k,Win,2
Champions Tour 2025: Americas Stage 1,Playoffs,Upper Round 1,Sentinels vs Cloud9,Pearl,20,18.9k,10.9k,Semi-buy: 10-20k,Loss,188
Champions Tour 2025: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs NRG,Haven,24,18.3k,0.4k,Semi-buy: 10-20k,Loss,
Champions Tour 2025: Americas Stage 1,Playoffs,Lower Round 1,Cloud9 vs Evil Geniuses,Icebox,9,25.3k,6.8k,Full buy: 20k+,Win,5248
Champions Tour 2025: Americas Stage 1,Playoffs,Upper Semifinals,G2 Esports vs Sentinels,Split,18,13.5k,0.6k,Semi-buy: 10-20k,Loss,2
Champions Tour 2025: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs Evil Geniuses,Icebox,19,4.2k,9.1k,Eco: 0-5k,Loss,5248
Champions Tour 2025: Americas Stage 1,Playoffs,Lower Round 2,G2 Esports vs 100 Thieves,Haven,10,23.5k,27.8k,Full buy: 20k+,Win,11058
Champions Tour 2025: Americas Stage 1,Playoffs,Lower Final,MIBR vs G2 Esports,Split,8,25.0k,24.1k,Full buy: 20k+,Loss,11058
Champions Tour 2025: Americas Stage 1,Playoffs,Grand Final,Sentinels vs G2 Esports,Pearl,14,14.9k,4.2k,Semi-buy: 10-20k,Loss,11058
Champions Tour 2025: Americas Stage 1,Playoffs,Grand Final,Sentinels vs G2 Esports,Pearl,20,24.6k,29.7k,Full buy: 20k+,Win,11058
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 1,Team Vitality vs T1,Bind,21,24.7k,23.9k,Full buy: 20k+,Loss,2059
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,Split,24,22.5k,1.7k,Full buy: 20k+,Win,2059
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 2 (1-0),EDward Gaming vs G2 Esports,Bind,19,19.2k,0.8k,Semi-buy: 10-20k,Win,1120
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 2 (0-1),T1 vs Trace Esports,Haven,21,22.4k,2.7k,Full buy: 20k+,Loss,12685
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 3,T1 vs DRX,Fracture,6,21.0k,2.4k,Full buy: 20k+,Win,14
Champions Tour 2025: Masters Bangkok,Playoffs,Upper Semifinals,EDward Gaming vs T1,Pearl,24,21.0k,0.5k,Full buy: 20k+,Loss,14
Champions Tour 2025: Masters Bangkok,Playoffs,Lower Final,EDward Gaming vs T1,Split,1,3.9k,0.3k,Eco: 0-5k,Win,14
Champions Tour 2025: Masters Bangkok,Playoffs,Grand Final,G2 Esports vs T1,Pearl,24,23.3k,6.2k,Full buy: 20k+,Loss,11058
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Split,12,25.5k,23.8k,Full buy: 20k+,Win,2593
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Bind,12,24.0k,20.2k,Full buy: 20k+,Loss,2059
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Abyss,18,21.9k,9.0k,Full buy: 20k+,Win,8877
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Fracture,7,21.7k,4.0k,Full buy: 20k+,Loss,8877
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 1,Team Liquid vs Apeks,Haven,13,3.8k,0.2k,Eco: 0-5k,Win,474
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Lotus,3,21.4k,0.4k,Full buy: 20k+,Loss,12694
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Lotus,6,9.4k,10.8k,Semi-eco: 5-10k,Win,12694
Champions Tour 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Bind,20,22.2k,3.0k,Full buy: 20k+,Win,2059
Champions Tour 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Fracture,4,23.2k,14.4k,Full buy: 20k+,Win,2059
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Rex Regum Qeon,Abyss,2,15.6k,3.6k,Semi-buy: 10-20k,Win,278
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,DRX vs Nongshim RedForce,Pearl,11,20.8k,6.3k,Full buy: 20k+,Loss,11060
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,DRX vs Nongshim RedForce,Fracture,9,23.0k,11.0k,Full buy: 20k+,Win,11060
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,DRX vs Nongshim RedForce,Fracture,18,23.5k,10.0k,Full buy: 20k+,Win,8185
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Paper Rex vs T1,Fracture,4,19.7k,0.6k,Semi-buy: 10-20k,Loss,624
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Gen.G vs Rex Regum Qeon,Fracture,14,17.5k,0.4k,Semi-buy: 10-20k,Win,17
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Semifinals,Gen.G vs DRX,Bind,12,23.1k,4.6k,Full buy: 20k+,Loss,17
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Semifinals,Gen.G vs DRX,Bind,21,20.3k,2.7k,Full buy: 20k+,Win,17
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 2,Nongshim RedForce vs Rex Regum Qeon,Lotus,3,5.2k,8.6k,Semi-eco: 5-10k,Loss,878
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 4,TALON vs Gen.G,Bind,10,25.8k,39.5k,Full buy: 20k+,Loss,17
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Lotus,13,4.0k,0.2k,Eco: 0-5k,Win,17
Champions Tour 2025: Pacific Kickoff,Main Event,Grand Final,DRX vs T1,Lotus,18,20.8k,0.9k,Full buy: 20k+,Loss,8185
Champions Tour 2025: Pacific Kickoff,Main Event,Grand Final,DRX vs T1,Fracture,14,15.6k,3.0k,Semi-buy: 10-20k,Win,8185
Champions Tour 2025: Americas Kickoff,Main Event,Upper Round 1,MIBR vs 100 Thieves,Bind,5,11.4k,6.7k,Semi-buy: 10-20k,Loss,120
Champions Tour 2025: Americas Kickoff,Main Event,Upper Round 1,2Game Esports vs FURIA,Haven,13,3.6k,0.3k,Eco: 0-5k,Loss,2406
Champions Tour 2025: Americas Kickoff,Main Event,Lower Round 1,Cloud9 vs MIBR,Pearl,4,13.7k,7.9k,Semi-buy: 10-20k,Win,7386
Champions Tour 2025: Americas Kickoff,Main Event,Upper Semifinals,LOUD vs Sentinels,Split,22,25.2k,20.3k,Full buy: 20k+,Win,2
Champions Tour 2025: Americas Kickoff,Main Event,Lower Round 2,NRG vs KRÜ Esports,Abyss,7,24.6k,34.0k,Full buy: 20k+,Loss,
Champions Tour 2025: Americas Kickoff,Main Event,Lower Round 3,LEVIATÁN vs MIBR,Split,10,14.0k,7.2k,Semi-buy: 10-20k,Loss,7386
Champions Tour 2025: Americas Kickoff,Main Event,Grand Final,G2 Esports vs Sentinels,Split,6,21.1k,0.7k,Full buy: 20k+,Win,11058
Champions Tour 2025: Americas Kickoff,Main Event,Grand Final,G2 Esports vs Sentinels,Pearl,17,20.0k,2.7k,Semi-buy: 10-20k,Loss,2
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 1,Team Vitality vs GIANTX,Split,5,24.6k,25.5k,Full buy: 20k+,Win,2059
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 1,Team Vitality vs GIANTX,Lotus,15,13.3k,0.9k,Semi-buy: 10-20k,Loss,14419
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 1,FNATIC vs Natus Vincere,Fracture,21,24.9k,10.5k,Full buy: 20k+,Win,2593
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 2,Team Liquid vs BBL Esports,Haven,8,24.5k,5.6k,Full buy: 20k+,Win,397
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Gentle Mates,Fracture,21,21.8k,5.7k,Full buy: 20k+,Win,12694
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 3,Karmine Corp vs Gentle Mates,Pearl,15,22.1k,8.2k,Full buy: 20k+,Win,8877
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 4,Team Vitality vs Apeks,Lotus,12,14.8k,0.4k,Semi-buy: 10-20k,Win,2059
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 4,Team Liquid vs KOI,Lotus,11,20.7k,5.4k,Full buy: 20k+,Win,7035
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 4,Gentle Mates vs BBL Esports,Haven,5,9.7k,9.4k,Semi-eco: 5-10k,Loss,12694
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 4,Karmine Corp vs FUT Esports,Lotus,2,15.7k,3.7k,Semi-buy: 10-20k,Win,8877
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 5,BBL Esports vs FUT Esports,Ascent,23,20.5k,3.2k,Full buy: 20k+,Loss,397
Champions Tour 2025: EMEA Stage 1,Group Stage,Week 5,Gentle Mates vs KOI,Split,18,8.9k,9.8k,Semi-eco: 5-10k,Loss,7035
Champions Tour 2025: EMEA Stage 1,Playoffs,Lower Round 1,FUT Esports vs Team Vitality,Split,1,4.0k,0.2k,Eco: 0-5k,Win,2059
Champions Tour 2025: EMEA Stage 1,Playoffs,Lower Round 2,BBL Esports vs FUT Esports,Ascent,10,23.4k,7.2k,Full buy: 20k+,Win,397
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 1,DetonatioN FocusMe vs Global Esports,Lotus,18,22.4k,6.2k,Full buy: 20k+,Win,278
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 1,T1 vs ZETA DIVISION,Fracture,16,16.0k,4.8k,Semi-buy: 10-20k,Win,5448
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 1,DRX vs Paper Rex,Icebox,5,24.2k,21.7k,Full buy: 20k+,Win,8185
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Fracture,4,23.0k,11.6k,Full buy: 20k+,Win,624
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,Gen.G vs DetonatioN FocusMe,Fracture,7,7.7k,11.4k,Semi-eco: 5-10k,Win,278
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs ZETA DIVISION,Haven,11,23.2k,6.7k,Full buy: 20k+,Win,878
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,TALON vs Nongshim RedForce,Fracture,7,9.9k,6.3k,Semi-eco: 5-10k,Loss,11060
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,TALON vs Nongshim RedForce,Fracture,19,22.0k,1.8k,Full buy: 20k+,Loss,11060
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,DRX vs Global Esports,Ascent,12,24.3k,7.4k,Full buy: 20k+,Win,8185
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,T1 vs Team Secret,Icebox,17,22.8k,6.0k,Full buy: 20k+,Win,14
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 3,T1 vs Team Secret,Lotus,11,22.1k,8.6k,Full buy: 20k+,Loss,14
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,Split,6,22.0k,1.4k,Full buy: 20k+,Loss,6199
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,DRX vs BOOM Esports,Icebox,7,23.3k,18.6k,Full buy: 20k+,Win,466
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,DRX vs BOOM Esports,Haven,14,15.3k,2.7k,Semi-buy: 10-20k,Win,8185
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,T1 vs Rex Regum Qeon,Pearl,16,19.7k,2.5k,Semi-buy: 10-20k,Win,14
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,T1 vs Rex Regum Qeon,Icebox,4,21.8k,4.9k,Full buy: 20k+,Win,14
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Global Esports,Haven,4,22.7k,11.2k,Full buy: 20k+,Loss,918
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,Gen.G vs Global Esports,Haven,6,21.8k,9.7k,Full buy: 20k+,Loss,17
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 4,TALON vs ZETA DIVISION,Split,18,22.9k,5.2k,Full buy: 20k+,Loss,5448
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 5,DRX vs Gen.G,Split,20,10.7k,5.7k,Semi-buy: 10-20k,Loss,8185
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 5,Nongshim RedForce vs ZETA DIVISION,Pearl,2,16.0k,1.1k,Semi-buy: 10-20k,Win,11060
Champions Tour 2025: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs Team Secret,Haven,10,23.9k,21.2k,Full buy: 20k+,Win,878
Champions Tour 2025: Pacific Stage 1,Playoffs,Lower Round 1,TALON vs Nongshim RedForce,Haven,6,24.3k,4.5k,Full buy: 20k+,Loss,11060
Champions Tour 2025: Pacific Stage 1,Playoffs,Lower Round 1,T1 vs Paper Rex,Lotus,2,13.6k,3.5k,Semi-buy: 10-20k,Win,624
Champions Tour 2025: Pacific Stage 1,Playoffs,Lower Round 2,DRX vs TALON,Icebox,10,17.6k,2.7k,Semi-buy: 10-20k,Win,8304
Champions Tour 2025: Pacific Stage 1,Playoffs,Lower Round 2,DRX vs TALON,Fracture,23,20.0k,0.7k,Semi-buy: 10-20k,Win,8304
Champions Tour 2025: Pacific Stage 1,Playoffs,Grand Final,Gen.G vs Rex Regum Qeon,Ascent,14,12.3k,0.6k,Semi-buy: 10-20k,Win,17
Champions Tour 2025: Americas Stage 1,Group Stage,Week 1,Cloud9 vs NRG,Pearl,2,2.1k,8.4k,Eco: 0-5k,Loss,
Champions Tour 2025: Americas Stage 1,Group Stage,Week 2,G2 Esports vs MIBR,Haven,19,22.8k,8.0k,Full buy: 20k+,Loss,11058
Champions Tour 2025: Americas Stage 1,Group Stage,Week 3,2Game Esports vs KRÜ Esports,Ascent,6,20.6k,4.3k,Full buy: 20k+,Win,2355
Champions Tour 2025: Americas Stage 1,Group Stage,Week 4,G2 Esports vs LEVIATÁN,Fracture,21,17.2k,1.2k,Semi-buy: 10-20k,Win,11058
Champions Tour 2025: Americas Stage 1,Group Stage,Week 4,KRÜ Esports vs Evil Geniuses,Pearl,7,20.7k,3.3k,Full buy: 20k+,Win,5248
Champions Tour 2025: Americas Stage 1,Group Stage,Week 5,MIBR vs FURIA,Ascent,10,20.5k,4.0k,Full buy: 20k+,Loss,7386
Champions Tour 2025: Americas Stage 1,Group Stage,Week 5,Evil Geniuses vs LOUD,Pearl,3,21.4k,0.9k,Full buy: 20k+,Win,5248
Champions Tour 2025: Americas Stage 1,Group Stage,Week 5,Evil Geniuses vs LOUD,Pearl,21,8.9k,8.5k,Semi-eco: 5-10k,Win,5248
Champions Tour 2025: Americas Stage 1,Group Stage,Week 5,LEVIATÁN vs NRG,Fracture,8,20.8k,9.1k,Full buy: 20k+,Loss,
Champions Tour 2025: Americas Stage 1,Group Stage,Week 5,LEVIATÁN vs NRG,Fracture,11,19.7k,4.5k,Semi-buy: 10-20k,Loss,
Champions Tour 2025: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs NRG,Haven,7,23.0k,11.7k,Full buy: 20k+,Loss,120
Champions Tour 2025: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs NRG,Haven,14,16.4k,1.9k,Semi-buy: 10-20k,Win,120
Champions Tour 2025: Americas Stage 1,Playoffs,Lower Round 1,Cloud9 vs Evil Geniuses,Fracture,2,15.5k,2.5k,Semi-buy: 10-20k,Loss,5248
Champions Tour 2025: Americas Stage 1,Playoffs,Upper Semifinals,G2 Esports vs Sentinels,Icebox,16,22.4k,3.7k,Full buy: 20k+,Win,11058
Champions Tour 2025: Americas Stage 1,Playoffs,Upper Semifinals,G2 Esports vs Sentinels,Ascent,1,3.8k,0.2k,Eco: 0-5k,Loss,11058
Champions Tour 2025: Americas Stage 1,Playoffs,Upper Semifinals,G2 Esports vs Sentinels,Ascent,13,3.5k,0.4k,Eco: 0-5k,Loss,11058
Champions Tour 2025: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs Evil Geniuses,Lotus,15,14.7k,11.0k,Semi-buy: 10-20k,Loss,2355
Champions Tour 2025: Americas Stage 1,Playoffs,Lower Round 2,KRÜ Esports vs Evil Geniuses,Icebox,23,24.0k,9.0k,Full buy: 20k+,Win,2355
Champions Tour 2025: Americas Stage 1,Playoffs,Lower Round 3,G2 Esports vs Evil Geniuses,Lotus,21,10.2k,8.1k,Semi-buy: 10-20k,Loss,11058
Champions Tour 2025: Americas Stage 1,Playoffs,Lower Round 3,G2 Esports vs Evil Geniuses,Pearl,17,21.3k,2.8k,Full buy: 20k+,Loss,5248
Champions Tour 2025: Americas Stage 1,Playoffs,Lower Final,MIBR vs G2 Esports,Haven,1,3.9k,0.2k,Eco: 0-5k,Loss,11058
Champions Tour 2025: Americas Stage 1,Playoffs,Grand Final,Sentinels vs G2 Esports,Ascent,6,22.5k,9.4k,Full buy: 20k+,Loss,2
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 1,DRX vs Sentinels,Lotus,12,18.0k,0.6k,Semi-buy: 10-20k,Loss,2
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 1,DRX vs Sentinels,Lotus,15,20.8k,1.3k,Full buy: 20k+,Loss,2
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 1,G2 Esports vs Trace Esports,Lotus,5,13.2k,5.7k,Semi-buy: 10-20k,Win,12685
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 3,T1 vs DRX,Fracture,4,23.0k,23.3k,Full buy: 20k+,Win,8185
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 3,T1 vs DRX,Fracture,16,6.3k,10.0k,Semi-eco: 5-10k,Loss,8185
Champions Tour 2025: Masters Bangkok,Playoffs,Upper Semifinals,EDward Gaming vs T1,Split,20,12.9k,6.5k,Semi-buy: 10-20k,Win,1120
Champions Tour 2025: Masters Bangkok,Playoffs,Upper Semifinals,EDward Gaming vs T1,Pearl,5,22.8k,6.7k,Full buy: 20k+,Loss,1120
Champions Tour 2025: Masters Bangkok,Playoffs,Upper Semifinals,EDward Gaming vs T1,Pearl,7,5.9k,9.7k,Semi-eco: 5-10k,Loss,14
Champions Tour 2025: Masters Bangkok,Playoffs,Upper Semifinals,Team Vitality vs G2 Esports,Lotus,13,3.9k,0.2k,Eco: 0-5k,Win,11058
Champions Tour 2025: Masters Bangkok,Playoffs,Grand Final,G2 Esports vs T1,Lotus,4,22.6k,12.9k,Full buy: 20k+,Win,11058
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Abyss,13,3.6k,0.1k,Eco: 0-5k,Loss,8877
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Abyss,20,19.6k,0.5k,Semi-buy: 10-20k,Win,397
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Heretics vs Gentle Mates,Abyss,2,15.2k,1.9k,Semi-buy: 10-20k,Win,12694
