tournament,stage,match_type,map,agent,total_wins_by_map,total_loss_by_map,total_maps_played,team_id
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Abyss,sova,0,1,1,11479
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,Abyss,jett,0,1,1,12694
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Haven,yoru,2,1,3,2059
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Fracture,raze,1,0,1,8185
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Haven,killjoy,0,1,1,878
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,Lotus,raze,0,1,1,278
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Fracture,sova,2,0,2,878
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Fracture,cypher,0,1,1,466
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Haven,breach,0,1,1,8304
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Pearl,astra,0,1,1,5248
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Split,omen,0,1,1,2
VCT 2025: Americas Kickoff,Main Event,Upper Semifinals,Split,breach,0,1,1,6961
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,Pearl,vyse,0,1,1,2359
VCT 2025: Americas Kickoff,All Stages,All Match Types,Abyss,astra,0,2,2,188
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Pearl,astra,1,0,1,11328
VCT 2025: China Kickoff,Main Event,Upper Final,Lotus,viper,0,1,1,12010
VCT 2025: China Kickoff,Main Event,Grand Final,Lotus,raze,1,0,1,12685
VCT 2025: China Kickoff,Main Event,Lower Round 2,Pearl,jett,1,0,1,11981
VCT 2025: China Kickoff,All Stages,All Match Types,Fracture,breach,1,0,1,13576
VCT 2025: China Kickoff,All Stages,All Match Types,Abyss,gekko,0,2,2,11328
VCT 2025: China Kickoff,All Stages,All Match Types,Pearl,killjoy,0,1,1,731
Valorant Champions 2025,Group Stage,Opening (A),Corrode,yoru,0,1,1,14419
Valorant Champions 2025,Group Stage,Winner's (C),Corrode,omen,0,1,1,8185
Valorant Champions 2025,Group Stage,Elimination (D),Abyss,astra,1,0,1,11058
Valorant Champions 2025,All Stages,All Match Types,Bind,yoru,2,0,2,1001
Valorant Champions 2025,All Stages,All Match Types,Sunset,cypher,0,1,1,878
Valorant Champions 2025,All Stages,All Match Types,Lotus,viper,3,2,5,11058
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Lotus,fade,1,0,1,5448
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Corrode,neon,1,0,1,17
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Corrode,omen,0,1,1,878
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Sunset,raze,0,1,1,624
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Ascent,vyse,1,0,3,6199
VCT 2025: China Stage 2,Playoffs,Lower Round 1,Sunset,sova,0,1,1,11328
VCT 2025: China Stage 2,Group Stage,Week 2,Haven,sova,1,0,1,731
VCT 2025: China Stage 2,Group Stage,Week 3,Ascent,cypher,0,1,1,14137
VCT 2025: China Stage 2,Group Stage,Week 3,Ascent,omen,1,1,2,12010
VCT 2025: China Stage 2,Group Stage,Week 3,Lotus,vyse,1,0,1,13576
VCT 2025: China Stage 2,All Stages,All Match Types,Haven,omen,1,2,3,731
VCT 2025: China Stage 2,All Stages,All Match Types,Haven,sova,2,2,4,11328
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Corrode,omen,1,0,1,14419
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,chamber,1,0,1,397
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Bind,brimstone,1,0,1,11058
VCT 2025: Americas Stage 2,Group Stage,Week 3,Ascent,sova,1,0,1,15072
VCT 2025: Americas Stage 2,Group Stage,Week 4,Lotus,raze,0,1,1,5248
VCT 2025: Americas Stage 2,Group Stage,Week 4,Ascent,sova,0,1,1,2406
VCT 2025: Americas Stage 2,Group Stage,Week 4,Ascent,vyse,1,0,1,11058
VCT 2025: Americas Stage 2,Group Stage,Week 5,Sunset,vyse,1,0,1,2359
VCT 2025: Americas Stage 2,Group Stage,Week 5,Corrode,viper,1,0,1,5248
VCT 2025: EMEA Stage 1,Playoffs,Grand Final,Split,fade,0,1,1,1001
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 1,Fracture,cypher,0,1,1,2059
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Haven,tejo,0,1,1,474
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Ascent,fade,0,1,1,397
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Split,astra,0,1,1,2593
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Pearl,astra,1,0,1,397
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Split,chamber,0,1,1,1184
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Lotus,fade,0,1,1,1184
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Lotus,tejo,1,0,1,397
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Haven,yoru,1,0,1,1001
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,Ascent,cypher,0,1,1,11060
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Haven,tejo,1,0,1,11060
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Haven,cypher,0,1,1,5448
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Lotus,raze,1,1,3,6199
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Fracture,neon,2,1,3,14
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Fracture,brimstone,0,1,1,5448
VCT 2025: China Stage 1,Group Stage,Week 1,Pearl,yoru,1,0,1,13790
VCT 2025: China Stage 1,Group Stage,Week 3,Lotus,breach,1,0,1,12685
VCT 2025: China Stage 1,Group Stage,Week 4,Haven,tejo,0,1,1,11328
VCT 2025: China Stage 1,Group Stage,Week 4,Pearl,tejo,1,0,1,13576
VCT 2025: China Stage 1,Group Stage,Week 5,Fracture,vyse,1,0,1,1120
VCT 2025: China Stage 1,All Stages,All Match Types,Haven,cypher,3,1,4,13790
VCT 2025: Americas Stage 1,Group Stage,Week 1,Haven,sova,1,0,1,120
VCT 2025: Americas Stage 1,Group Stage,Week 4,Fracture,neon,1,0,1,2359
VCT 2025: Americas Stage 1,All Stages,All Match Types,Lotus,omen,4,1,5,11058
VCT 2025: Americas Stage 1,All Stages,All Match Types,Lotus,tejo,1,2,3,
VCT 2025: Americas Stage 1,All Stages,All Match Types,Icebox,viper,1,1,2,11058
VCT 2025: Americas Stage 1,All Stages,All Match Types,Icebox,gekko,1,1,2,11058
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,Pearl,killjoy,0,1,1,14
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,Haven,cypher,0,1,1,2059
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,Abyss,astra,1,0,1,11058
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,Fracture,tejo,1,0,1,14
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Pearl,kayo,0,1,1,4915
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Pearl,astra,2,0,2,1001
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Split,yoru,1,1,2,397
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Fracture,raze,0,1,1,14
VCT 2025: Pacific Kickoff,Main Event,Grand Final,Fracture,raze,1,0,1,8185
VCT 2025: Pacific Kickoff,Main Event,Lower Round 4,Bind,viper,1,0,1,17
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Haven,omen,0,1,1,15072
VCT 2025: Americas Kickoff,All Stages,All Match Types,Split,skye,1,1,2,2359
VCT 2025: Americas Kickoff,All Stages,All Match Types,Abyss,sova,1,1,3,2
VCT 2025: China Kickoff,Main Event,Upper Round 1,Haven,neon,1,0,1,13576
VCT 2025: China Kickoff,Main Event,Upper Quarterfinals,Abyss,gekko,0,1,1,11328
VCT 2025: China Kickoff,Main Event,Grand Final,Fracture,killjoy,1,0,1,1120
VCT 2025: China Kickoff,Main Event,Lower Round 3,Haven,tejo,0,1,1,11328
VCT 2025: China Kickoff,All Stages,All Match Types,Bind,skye,1,1,2,12010
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,viper,1,0,1,7386
Valorant Champions 2025,Playoffs,Upper Semifinals,Haven,killjoy,0,1,1,
Valorant Champions 2025,Playoffs,Grand Final,Sunset,neon,1,0,1,
Valorant Champions 2025,Group Stage,Winner's (C),Lotus,waylay,0,1,1,8185
Valorant Champions 2025,Group Stage,Winner's (D),Lotus,vyse,0,1,1,14
Valorant Champions 2025,Group Stage,Decider (D),Lotus,vyse,0,1,1,14
Valorant Champions 2025,All Stages,All Match Types,Abyss,omen,1,2,3,474
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,Bind,astra,0,1,1,878
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Lotus,vyse,1,0,1,8185
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Icebox,sova,0,2,2,11060
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Haven,sova,1,3,4,14
VCT 2025: China Stage 2,Playoffs,Lower Round 1,Ascent,deadlock,0,1,1,12685
VCT 2025: China Stage 2,Group Stage,Week 1,Corrode,viper,0,1,1,13790
VCT 2025: China Stage 2,Group Stage,Week 2,Icebox,omen,0,1,1,13576
VCT 2025: China Stage 2,Group Stage,Week 3,Ascent,waylay,0,1,1,11328
VCT 2025: China Stage 2,Group Stage,Week 3,Lotus,omen,1,0,1,1119
VCT 2025: China Stage 2,Group Stage,Week 4,Sunset,cypher,0,1,1,12685
VCT 2025: China Stage 2,All Stages,All Match Types,Sunset,neon,2,1,3,1119
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,Ascent,omen,1,0,1,397
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,Bind,omen,1,0,1,4915
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Corrode,fade,0,1,1,474
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,Haven,sova,1,0,1,8877
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,Haven,neon,1,0,1,4915
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Bind,viper,1,0,1,1001
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Haven,neon,0,1,1,1184
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Haven,yoru,1,0,1,1001
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Haven,omen,0,1,1,12694
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,sova,1,0,1,2059
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Lotus,cypher,0,2,4,11479
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Haven,omen,0,1,1,11479
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,Haven,killjoy,0,1,1,188
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,Haven,neon,0,1,1,120
VCT 2025: Americas Stage 2,Group Stage,Week 1,Ascent,yoru,1,0,1,2355
VCT 2025: Americas Stage 2,Group Stage,Week 5,Sunset,cypher,0,1,1,2
VCT 2025: Americas Stage 2,All Stages,All Match Types,Haven,sova,2,0,2,2
VCT 2025: Americas Stage 2,All Stages,All Match Types,Ascent,omen,1,2,3,15072
VCT 2025: Americas Stage 2,All Stages,All Match Types,Sunset,jett,0,1,1,5248
VCT 2025: Americas Stage 2,All Stages,All Match Types,Sunset,breach,3,0,3,15072
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Split,deadlock,0,1,1,17
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Icebox,sova,1,0,1,11058
Valorant Masters Toronto 2025,Playoffs,Lower Round 3,Split,yoru,1,0,1,2593
Valorant Masters Toronto 2025,All Stages,All Match Types,Sunset,neon,0,1,2,7386
Valorant Masters Toronto 2025,All Stages,All Match Types,Ascent,vyse,0,1,1,2
Valorant Masters Toronto 2025,All Stages,All Match Types,Icebox,gekko,0,2,2,2
VCT 2025: EMEA Stage 1,Playoffs,Upper Round 1,Fracture,brimstone,0,1,1,4915
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Icebox,gekko,1,0,1,474
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Icebox,tejo,0,1,1,397
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,Ascent,omen,1,0,1,474
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Split,tejo,0,1,1,14419
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Haven,breach,1,0,1,397
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Lotus,omen,0,1,1,4915
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Lotus,omen,1,0,1,2059
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Haven,yoru,1,0,1,4915
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,Fracture,raze,0,1,1,624
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Split,omen,1,0,1,8185
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Ascent,kayo,0,1,1,624
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Split,yoru,1,0,1,624
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Haven,yoru,1,0,1,878
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Pearl,yoru,1,2,3,878
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Fracture,brimstone,0,2,2,878
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Icebox,jett,0,1,4,14
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Ascent,breach,0,1,1,12064
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,Split,breach,0,1,1,12010
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Ascent,omen,1,0,1,14137
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Split,raze,0,1,1,12064
VCT 2025: China Stage 1,Playoffs,Lower Round 3,Icebox,killjoy,0,1,1,1120
VCT 2025: China Stage 1,Group Stage,Week 2,Fracture,breach,1,0,1,13790
VCT 2025: China Stage 1,Group Stage,Week 3,Lotus,astra,0,1,1,13576
VCT 2025: China Stage 1,Group Stage,Week 4,Ascent,kayo,0,1,1,13790
VCT 2025: China Stage 1,All Stages,All Match Types,Icebox,tejo,1,1,2,12064
VCT 2025: China Stage 1,All Stages,All Match Types,Split,breach,0,2,2,12010
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,Haven,neon,0,1,1,120
VCT 2025: Americas Stage 1,Group Stage,Week 1,Haven,yoru,1,0,1,2355
VCT 2025: Americas Stage 1,Group Stage,Week 2,Fracture,breach,1,0,1,120
VCT 2025: Americas Stage 1,Group Stage,Week 3,Pearl,vyse,0,1,1,7386
VCT 2025: Americas Stage 1,Group Stage,Week 4,Pearl,astra,0,1,1,2406
VCT 2025: Americas Stage 1,All Stages,All Match Types,Lotus,breach,1,2,3,188
VCT 2025: Americas Stage 1,All Stages,All Match Types,Icebox,sova,3,2,5,2355
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Lotus,viper,0,1,1,12685
VCT 2025: EMEA Kickoff,Main Event,Upper Final,Abyss,chamber,0,1,1,1001
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Split,viper,1,0,1,474
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Abyss,sova,1,0,1,474
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,Fracture,brimstone,0,1,1,14419
