tournament,stage,match_type,map,agent,total_wins_by_map,total_loss_by_map,total_maps_played,team_id
VCT 2025: Americas Kickoff,Main Event,Upper Final,Pearl,astra,0,1,1,2
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Abyss,sova,0,1,1,188
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,Lotus,cypher,0,1,1,7386
VCT 2025: Americas Kickoff,All Stages,All Match Types,Bind,raze,1,0,1,2
VCT 2025: Americas Kickoff,All Stages,All Match Types,Abyss,kayo,2,1,3,2355
VCT 2025: China Kickoff,Main Event,Grand Final,Abyss,kayo,0,1,1,12685
VCT 2025: China Kickoff,Main Event,Lower Round 2,Pearl,jett,0,1,1,12064
VCT 2025: China Kickoff,All Stages,All Match Types,Bind,vyse,2,0,3,1120
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Haven,cypher,0,1,1,14419
Valorant Champions 2025,Playoffs,Upper Semifinals,Lotus,yoru,0,1,1,624
Valorant Champions 2025,Group Stage,Opening (C),Corrode,fade,0,1,1,1120
Valorant Champions 2025,All Stages,All Match Types,Abyss,astra,1,1,2,11058
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,Lotus,omen,1,0,1,8304
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,Bind,raze,1,0,1,8185
VCT 2025: Pacific Stage 2,Playoffs,Upper Final,Bind,fade,1,0,1,624
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Lotus,yoru,2,0,2,624
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Corrode,neon,0,1,1,6199
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Corrode,sova,0,1,1,5448
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Corrode,omen,1,0,1,8304
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Bind,raze,2,0,2,11060
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Haven,yoru,4,0,4,624
VCT 2025: China Stage 2,Playoffs,Upper Semifinals,Lotus,neon,1,0,1,11981
VCT 2025: China Stage 2,Playoffs,Grand Final,Haven,sova,0,1,1,11981
VCT 2025: China Stage 2,Group Stage,Week 2,Corrode,cypher,1,0,1,731
VCT 2025: China Stage 2,Group Stage,Week 2,Bind,fade,1,0,1,1120
VCT 2025: China Stage 2,Group Stage,Week 3,Ascent,omen,1,0,1,1120
VCT 2025: China Stage 2,Group Stage,Week 3,Sunset,deadlock,1,0,1,13581
VCT 2025: China Stage 2,Group Stage,Week 4,Haven,neon,1,1,2,13576
VCT 2025: China Stage 2,All Stages,All Match Types,Bind,kayo,3,1,4,12010
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Corrode,neon,1,0,1,14419
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Lotus,fade,0,1,1,1184
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Ascent,jett,1,0,1,474
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,jett,1,0,1,1001
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Bind,viper,0,1,1,11479
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Sunset,cypher,3,2,5,474
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,Lotus,raze,0,1,1,2359
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Bind,fade,0,1,1,
VCT 2025: Americas Stage 2,Playoffs,Lower Final,Lotus,omen,0,1,1,2
VCT 2025: Americas Stage 2,Group Stage,Week 2,Ascent,chamber,1,0,1,11058
VCT 2025: Americas Stage 2,Group Stage,Week 2,Icebox,killjoy,0,1,1,2406
VCT 2025: Americas Stage 2,Group Stage,Week 3,Sunset,sova,0,1,1,2406
VCT 2025: Americas Stage 2,Group Stage,Week 3,Lotus,viper,1,0,1,
VCT 2025: Americas Stage 2,Group Stage,Week 4,Ascent,omen,1,0,1,11058
VCT 2025: Americas Stage 2,All Stages,All Match Types,Sunset,sova,0,4,4,
Valorant Masters Toronto 2025,Playoffs,Grand Final,Lotus,raze,1,0,1,624
Valorant Masters Toronto 2025,Playoffs,Lower Round 2,Sunset,viper,0,1,1,2593
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Pearl,yoru,1,0,1,13790
Valorant Masters Toronto 2025,All Stages,All Match Types,Icebox,jett,1,1,2,13790
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Icebox,tejo,1,0,1,1001
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Lotus,yoru,0,1,1,11479
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Pearl,yoru,1,0,1,1001
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Icebox,kayo,0,1,1,12694
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Icebox,waylay,0,1,5,474
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Ascent,kayo,1,0,1,17
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Fracture,neon,1,0,1,17
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Pearl,phoenix,0,1,1,624
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Split,raze,1,0,1,624
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Icebox,killjoy,1,0,1,8304
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Haven,cypher,0,1,1,6199
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Lotus,raze,0,3,4,278
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Icebox,sova,1,2,3,8304
VCT 2025: China Stage 1,Group Stage,Week 3,Haven,cypher,0,1,1,13576
VCT 2025: China Stage 1,Group Stage,Week 4,Ascent,cypher,0,1,1,13790
VCT 2025: China Stage 1,Group Stage,Week 4,Pearl,killjoy,1,0,1,12064
VCT 2025: China Stage 1,Group Stage,Week 5,Split,fade,0,1,1,11981
VCT 2025: China Stage 1,Group Stage,Week 5,Pearl,tejo,0,1,1,1119
VCT 2025: China Stage 1,Group Stage,Week 5,Pearl,astra,0,1,1,1119
VCT 2025: China Stage 1,All Stages,All Match Types,Fracture,cypher,1,2,3,12064
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,Pearl,astra,1,0,1,2
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,Split,tejo,0,1,1,11058
VCT 2025: Americas Stage 1,Group Stage,Week 1,Pearl,astra,0,1,1,
VCT 2025: Americas Stage 1,Group Stage,Week 3,Ascent,cypher,0,1,1,2355
VCT 2025: Americas Stage 1,Group Stage,Week 4,Lotus,fade,1,0,1,5248
VCT 2025: Americas Stage 1,Group Stage,Week 4,Pearl,vyse,0,1,1,2355
VCT 2025: Americas Stage 1,Group Stage,Week 5,Icebox,jett,0,1,1,2406
VCT 2025: Americas Stage 1,Group Stage,Week 5,Icebox,killjoy,1,0,1,2355
VCT 2025: Americas Stage 1,Group Stage,Week 5,Pearl,yoru,1,0,1,2
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,Bind,brimstone,1,0,1,11058
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Fracture,brimstone,1,0,1,2593
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,Bind,raze,1,0,1,1184
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Haven,neon,2,0,2,12694
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Pearl,jett,1,0,1,918
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Lotus,fade,0,1,1,466
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Split,astra,0,1,1,6199
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Bind,cypher,0,1,1,7386
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Fracture,brimstone,0,1,1,
VCT 2025: Americas Kickoff,Main Event,Upper Semifinals,Lotus,tejo,0,1,1,2
VCT 2025: Americas Kickoff,Main Event,Lower Final,Pearl,jett,1,0,1,7386
VCT 2025: Americas Kickoff,All Stages,All Match Types,Haven,sova,1,0,1,2359
VCT 2025: China Kickoff,Main Event,Upper Round 1,Abyss,omen,1,0,1,11981
VCT 2025: China Kickoff,Main Event,Grand Final,Bind,raze,0,1,1,12685
VCT 2025: China Kickoff,Main Event,Lower Round 2,Pearl,kayo,1,0,1,11981
VCT 2025: China Kickoff,Main Event,Lower Round 3,Abyss,omen,0,1,1,11328
VCT 2025: China Kickoff,Main Event,Lower Round 3,Lotus,cypher,1,0,1,13581
Valorant Champions 2025,Playoffs,Grand Final,Lotus,omen,1,0,1,
Valorant Champions 2025,Group Stage,Elimination (B),Abyss,yoru,0,1,1,12010
Valorant Champions 2025,Group Stage,Decider (B),Abyss,sova,0,1,1,878
Valorant Champions 2025,Group Stage,Winner's (C),Corrode,sova,1,0,1,
Valorant Champions 2025,Group Stage,Opening (D),Lotus,fade,1,0,1,1001
Valorant Champions 2025,Group Stage,Elimination (D),Lotus,yoru,0,1,1,11981
Valorant Champions 2025,Group Stage,Decider (D),Lotus,neon,0,1,1,14
Valorant Champions 2025,All Stages,All Match Types,Haven,breach,0,1,1,12010
Valorant Champions 2025,All Stages,All Match Types,Ascent,omen,2,2,4,2593
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,Bind,fade,0,1,1,878
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Ascent,deadlock,0,1,1,6199
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Haven,fade,2,0,2,624
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Lotus,killjoy,1,0,1,17
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Corrode,omen,0,1,1,466
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Corrode,viper,0,1,1,466
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Haven,neon,0,2,2,8185
VCT 2025: China Stage 2,Playoffs,Lower Round 3,Lotus,fade,1,0,1,1120
VCT 2025: China Stage 2,Group Stage,Week 1,Icebox,killjoy,1,0,1,12064
VCT 2025: China Stage 2,Group Stage,Week 2,Sunset,omen,1,0,1,12010
VCT 2025: China Stage 2,Group Stage,Week 3,Bind,viper,0,1,1,14137
VCT 2025: China Stage 2,Group Stage,Week 3,Haven,viper,0,1,1,13576
VCT 2025: China Stage 2,Group Stage,Week 3,Icebox,harbor,1,0,1,11981
VCT 2025: China Stage 2,Group Stage,Week 4,Lotus,fade,0,2,2,1120
VCT 2025: China Stage 2,All Stages,All Match Types,Haven,sova,1,1,4,11981
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Sunset,raze,1,0,1,474
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Sunset,sova,0,1,1,4915
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Bind,raze,0,1,1,1184
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,sova,0,1,1,12694
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Sunset,omen,1,0,1,8877
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Icebox,killjoy,3,1,4,397
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Bind,skye,4,1,5,474
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,Haven,fade,1,0,1,11058
VCT 2025: Americas Stage 2,Playoffs,Lower Final,Icebox,harbor,1,0,1,
VCT 2025: Americas Stage 2,All Stages,All Match Types,Haven,breach,0,2,2,6961
VCT 2025: Americas Stage 2,All Stages,All Match Types,Ascent,deadlock,0,1,1,2
Valorant Masters Toronto 2025,Playoffs,Upper Final,Lotus,fade,1,0,1,624
Valorant Masters Toronto 2025,Playoffs,Lower Final,Split,raze,0,1,1,13790
Valorant Masters Toronto 2025,Playoffs,Lower Final,Split,yoru,1,0,1,2593
Valorant Masters Toronto 2025,All Stages,All Match Types,Icebox,gekko,0,1,2,474
Valorant Masters Toronto 2025,All Stages,All Match Types,Pearl,jett,0,1,2,1001
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Split,yoru,1,0,1,2593
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Icebox,killjoy,0,1,1,474
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Lotus,jett,0,1,1,1184
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Ascent,sova,0,1,1,8877
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Lotus,viper,1,0,1,2593
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Pearl,sova,0,1,1,4915
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Haven,omen,0,1,1,2059
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Split,viper,1,3,4,1184
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Ascent,killjoy,1,2,3,1184
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,Icebox,kayo,1,0,1,17
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,Lotus,fade,1,0,1,624
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Lotus,raze,1,0,1,8185
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Ascent,yoru,1,0,1,878
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Icebox,vyse,1,0,1,5448
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Fracture,breach,1,0,1,624
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Split,tejo,1,0,1,5448
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Haven,neon,1,1,2,11060
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Icebox,tejo,1,1,3,8304
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Lotus,viper,1,0,1,13581
VCT 2025: China Stage 1,Playoffs,Lower Round 3,Icebox,tejo,0,1,1,1120
VCT 2025: China Stage 1,Group Stage,Week 2,Icebox,waylay,1,0,1,731
VCT 2025: China Stage 1,Group Stage,Week 4,Lotus,omen,0,1,1,1120
VCT 2025: China Stage 1,Group Stage,Week 4,Split,breach,0,1,1,12685
VCT 2025: China Stage 1,Group Stage,Week 4,Split,yoru,1,0,1,13576
VCT 2025: China Stage 1,Group Stage,Week 5,Fracture,neon,0,1,1,13790
VCT 2025: China Stage 1,Group Stage,Week 5,Split,cypher,1,0,1,1120
VCT 2025: China Stage 1,All Stages,All Match Types,Icebox,viper,3,1,4,12010
VCT 2025: China Stage 1,All Stages,All Match Types,Fracture,cypher,1,1,4,1120
VCT 2025: China Stage 1,All Stages,All Match Types,Ascent,fade,2,2,4,11981
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,Icebox,viper,0,1,1,188
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,Lotus,clove,1,0,1,5248
VCT 2025: Americas Stage 1,Group Stage,Week 1,Lotus,cypher,0,1,1,15072
VCT 2025: Americas Stage 1,Group Stage,Week 2,Fracture,raze,0,1,1,2406
VCT 2025: Americas Stage 1,Group Stage,Week 5,Icebox,harbor,1,0,1,11058
VCT 2025: Americas Stage 1,All Stages,All Match Types,Ascent,kayo,2,1,3,2
Valorant Masters Bangkok 2025,Playoffs,Grand Final,Lotus,sova,0,1,1,14
Valorant Masters Bangkok 2025,Playoffs,Grand Final,Pearl,astra,0,1,1,11058
Valorant Masters Bangkok 2025,All Stages,All Match Types,Fracture,brimstone,0,1,1,11058
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Fracture,brimstone,0,1,1,12694
VCT 2025: EMEA Kickoff,Main Event,Upper Semifinals,Bind,tejo,1,0,1,2059
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Haven,cypher,0,1,1,7035
VCT 2025: EMEA Kickoff,Main Event,Lower Round 4,Abyss,kayo,1,0,1,474
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Fracture,kayo,2,0,2,1184
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Abyss,jett,4,0,4,474
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Bind,viper,1,1,2,1184
VCT 2025: EMEA Kickoff,All Stages,All Match Types,Haven,omen,1,0,1,2593
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Pearl,astra,0,1,1,466
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Pearl,fade,0,1,1,466
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Split,sage,0,1,1,624
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Pearl,astra,0,2,2,6199
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Split,skye,1,0,1,278
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Lotus,deadlock,0,1,1,918
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Fracture,breach,0,1,1,
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Pearl,kayo,0,1,1,120
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,Bind,raze,1,0,1,2355
VCT 2025: Americas Kickoff,All Stages,All Match Types,Lotus,vyse,1,1,2,2
VCT 2025: China Kickoff,Main Event,Lower Round 3,Pearl,astra,1,0,1,11328
VCT 2025: China Kickoff,All Stages,All Match Types,Fracture,brimstone,1,1,2,12064
VCT 2025: China Kickoff,All Stages,All Match Types,Bind,brimstone,0,2,2,13576
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Corrode,raze,0,1,1,624
Valorant Champions 2025,Playoffs,Lower Round 1,Abyss,cypher,1,0,1,8185
Valorant Champions 2025,Group Stage,Opening (A),Bind,fade,1,0,1,624
Valorant Champions 2025,Group Stage,Elimination (C),Sunset,yoru,0,1,1,474
Valorant Champions 2025,All Stages,All Match Types,Bind,fade,1,2,3,2593
Valorant Champions 2025,All Stages,All Match Types,Sunset,sova,2,0,2,624
Valorant Champions 2025,All Stages,All Match Types,Lotus,raze,0,1,1,2
Valorant Champions 2025,All Stages,All Match Types,Lotus,vyse,0,1,1,12010
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,Haven,omen,1,0,1,878
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Haven,omen,2,0,2,624
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Corrode,iso,0,1,1,918
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Bind,raze,0,1,1,8304
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Sunset,cypher,0,1,1,6199
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Ascent,yoru,1,2,5,878
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Corrode,fade,1,1,3,8185
VCT 2025: China Stage 2,Group Stage,Week 4,Sunset,neon,0,1,1,1120
VCT 2025: China Stage 2,All Stages,All Match Types,Haven,cypher,1,0,2,13790
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,Corrode,brimstone,0,1,1,8877
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Ascent,kayo,1,0,1,12694
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Haven,cypher,1,0,1,8877
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Haven,iso,0,1,1,2059
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Ascent,omen,0,1,1,2059
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Haven,sova,1,0,1,14419
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Corrode,yoru,0,1,2,397
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,Ascent,omen,1,0,1,
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sunset,sova,0,1,1,
VCT 2025: Americas Stage 2,Group Stage,Week 1,Lotus,omen,1,0,1,2
VCT 2025: Americas Stage 2,Group Stage,Week 1,Lotus,viper,1,0,1,2
VCT 2025: Americas Stage 2,Group Stage,Week 3,Bind,skye,1,0,1,6961
VCT 2025: Americas Stage 2,Group Stage,Week 4,Bind,viper,1,0,1,120
VCT 2025: Americas Stage 2,Group Stage,Week 4,Lotus,viper,0,1,1,15072
VCT 2025: Americas Stage 2,Group Stage,Week 4,Corrode,fade,1,0,1,11058
VCT 2025: Americas Stage 2,Group Stage,Week 4,Ascent,sova,1,0,1,11058
Valorant Masters Toronto 2025,Playoffs,Upper Final,Lotus,raze,1,0,1,624
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Icebox,gekko,0,1,1,474
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Lotus,raze,1,0,1,2
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Split,omen,0,1,1,624
Valorant Masters Toronto 2025,All Stages,All Match Types,Pearl,yoru,0,2,2,1001
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Icebox,killjoy,1,0,1,474
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Icebox,jett,0,1,1,397
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Haven,cypher,1,0,1,397
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Split,omen,1,0,1,14419
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Split,omen,3,2,5,4915
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Lotus,harbor,1,2,3,8877
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Icebox,clove,0,1,4,397
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Pearl,killjoy,0,1,1,12694
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Ascent,vyse,0,1,1,2593
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Ascent,sova,0,1,1,466
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Lotus,omen,0,1,1,8185
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,Lotus,neon,0,1,1,466
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Icebox,reyna,1,0,1,5448
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Icebox,kayo,1,0,1,6199
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Lotus,neon,0,1,1,278
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Lotus,vyse,0,1,1,5448
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Lotus,breach,0,1,1,918
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Lotus,breach,0,2,7,624
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Lotus,raze,1,0,3,5448
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Pearl,jett,1,1,2,918
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Fracture,tejo,1,1,5,624
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Icebox,viper,1,3,4,14
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Icebox,waylay,0,1,2,6199
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,Split,omen,1,0,1,13790
VCT 2025: China Stage 1,All Stages,All Match Types,Split,tejo,1,0,1,13576
VCT 2025: China Stage 1,All Stages,All Match Types,Ascent,killjoy,2,0,2,12010
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,Icebox,gekko,0,1,1,120
VCT 2025: Americas Stage 1,Playoffs,Upper Final,Lotus,viper,1,0,1,2
VCT 2025: Americas Stage 1,Playoffs,Lower Final,Split,omen,1,0,1,11058
VCT 2025: Americas Stage 1,Group Stage,Week 1,Pearl,yoru,0,1,1,
VCT 2025: Americas Stage 1,Group Stage,Week 1,Icebox,sova,1,0,1,7386
VCT 2025: Americas Stage 1,Group Stage,Week 2,Haven,breach,0,1,1,7386
VCT 2025: Americas Stage 1,Group Stage,Week 3,Ascent,kayo,1,0,1,15072
VCT 2025: Americas Stage 1,Group Stage,Week 5,Pearl,jett,1,0,1,5248
VCT 2025: Americas Stage 1,All Stages,All Match Types,Lotus,omen,1,3,4,2355
VCT 2025: Americas Stage 1,All Stages,All Match Types,Haven,omen,1,1,2,188
VCT 2025: Americas Stage 1,All Stages,All Match Types,Haven,jett,0,2,2,
VCT 2025: Americas Stage 1,All Stages,All Match Types,Haven,breach,1,2,3,6961
Valorant Masters Bangkok 2025,All Stages,All Match Types,Pearl,yoru,1,1,2,11058
Valorant Masters Bangkok 2025,All Stages,All Match Types,Abyss,tejo,0,1,1,2059
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Pearl,jett,0,1,1,14419
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Pearl,jett,1,0,1,1001
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Split,omen,0,1,1,2059
VCT 2025: EMEA Kickoff,Main Event,Lower Round 3,Abyss,vyse,1,0,1,1184
VCT 2025: EMEA Kickoff,Main Event,Lower Final,Abyss,sova,0,1,1,1001
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,Haven,cypher,0,1,1,8304
VCT 2025: Pacific Kickoff,All Stages,All Match Types,Pearl,astra,0,2,2,466
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Lotus,breach,1,0,1,11058
VCT 2025: Americas Kickoff,Main Event,Lower Round 1,Pearl,vyse,1,0,1,
VCT 2025: Americas Kickoff,All Stages,All Match Types,Abyss,omen,0,1,1,
VCT 2025: Americas Kickoff,All Stages,All Match Types,Abyss,yoru,0,1,1,
VCT 2025: China Kickoff,Main Event,Upper Semifinals,Bind,brimstone,1,0,1,12685
VCT 2025: China Kickoff,Main Event,Upper Final,Haven,breach,0,1,1,12685
VCT 2025: China Kickoff,Main Event,Lower Round 1,Abyss,astra,0,1,1,12064
VCT 2025: China Kickoff,Main Event,Lower Final,Lotus,breach,1,0,1,1120
VCT 2025: China Kickoff,All Stages,All Match Types,Abyss,astra,0,1,1,731
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Lotus,tejo,0,1,1,11058
Valorant Champions 2025,Playoffs,Lower Round 1,Bind,yoru,1,0,1,1001
Valorant Champions 2025,Group Stage,Elimination (C),Sunset,raze,0,1,1,474
Valorant Champions 2025,Group Stage,Elimination (D),Abyss,deadlock,1,0,1,11058
Valorant Champions 2025,All Stages,All Match Types,Lotus,deadlock,2,2,4,1001
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Lotus,yoru,1,0,1,624
VCT 2025: Pacific Stage 2,Group Stage,Week 4,Sunset,cypher,1,0,1,14
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Bind,fade,0,2,4,878
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Bind,fade,2,0,3,8185
VCT 2025: Pacific Stage 2,All Stages,All Match Types,Lotus,viper,1,1,2,17
VCT 2025: China Stage 2,Playoffs,Lower Round 2,Icebox,killjoy,0,1,1,13581
VCT 2025: China Stage 2,Playoffs,Lower Final,Ascent,sova,1,0,1,12010
VCT 2025: China Stage 2,Group Stage,Week 1,Lotus,viper,0,1,1,731
VCT 2025: China Stage 2,Group Stage,Week 2,Corrode,yoru,1,0,1,731
VCT 2025: China Stage 2,All Stages,All Match Types,Haven,sova,1,2,3,12685
VCT 2025: China Stage 2,All Stages,All Match Types,Haven,viper,2,0,3,14137
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Ascent,omen,1,0,1,474
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,Lotus,viper,1,0,1,14419
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 3,Icebox,killjoy,1,0,1,4915
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Bind,gekko,1,0,1,1001
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Sunset,yoru,1,0,1,8877
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Icebox,killjoy,0,1,1,2059
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Ascent,jett,0,1,1,14419
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Lotus,yoru,0,1,1,11479
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Haven,sova,0,1,1,14419
VCT 2025: EMEA Stage 2,All Stages,All Match Types,Lotus,fade,2,1,3,2059
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Icebox,viper,1,0,1,188
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Lotus,omen,0,1,1,188
