Tournament,Stage,Match Type,Map,Total Maps Played,Attacker Side Win Percentage,Defender Side Win Percentage
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 3,Fracture,1,67%,33%
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 3,Split,1,25%,75%
VCT 2025: EMEA Stage 1,Playoffs,Lower Final,All Maps,3,67%,33%
VCT 2025: EMEA Stage 1,Playoffs,Lower Final,Haven,1,69%,31%
VCT 2025: EMEA Stage 1,Playoffs,Lower Final,Ascent,1,65%,35%
VCT 2025: EMEA Stage 1,Playoffs,Lower Final,Icebox,1,67%,33%
VCT 2025: EMEA Stage 1,Group Stage,Week 1,All Maps,15,50%,50%
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Split,4,58%,43%
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Icebox,3,46%,54%
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Fracture,2,49%,51%
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Lotus,2,41%,59%
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Pearl,2,41%,59%
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Ascent,1,61%,39%
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Haven,1,58%,42%
VCT 2025: EMEA Stage 1,Group Stage,Week 2,All Maps,17,47%,53%
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Lotus,5,53%,47%
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Haven,4,65%,35%
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Split,3,34%,66%
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Fracture,2,34%,66%
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Icebox,2,53%,47%
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Ascent,1,6%,94%
VCT 2025: EMEA Stage 1,Group Stage,Week 3,All Maps,13,46%,54%
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Split,3,44%,56%
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Pearl,3,48%,52%
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Haven,2,49%,51%
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Icebox,2,46%,54%
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Lotus,2,44%,56%
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Fracture,1,41%,59%
VCT 2025: EMEA Stage 1,Group Stage,Week 4,All Maps,14,49%,51%
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Lotus,5,59%,41%
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Haven,3,43%,57%
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Ascent,3,34%,66%
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Pearl,2,58%,42%
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Split,1,50%,50%
VCT 2025: EMEA Stage 1,Group Stage,Week 5,All Maps,13,54%,46%
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Icebox,4,58%,42%
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Lotus,3,53%,47%
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Haven,2,50%,50%
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Ascent,2,63%,37%
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Fracture,1,23%,77%
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Split,1,54%,46%
VCT 2025: EMEA Stage 1,All Stages,All Match Types,All Maps,103,50%,50%
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Split,20,47%,53%
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Lotus,19,52%,48%
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Icebox,18,53%,47%
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Haven,15,57%,43%
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Ascent,12,45%,55%
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Fracture,12,48%,52%
VCT 2025: EMEA Stage 1,All Stages,All Match Types,Pearl,7,49%,51%
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,All Maps,5,51%,49%
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,Haven,1,58%,42%
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,Fracture,1,58%,42%
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,Icebox,1,53%,47%
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,Lotus,1,58%,42%
VCT 2025: Pacific Stage 1,Playoffs,Upper Round 1,Pearl,1,19%,81%
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,All Maps,5,49%,51%
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Ascent,1,5%,95%
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Fracture,1,46%,54%
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Icebox,1,53%,47%
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Lotus,1,58%,42%
VCT 2025: Pacific Stage 1,Playoffs,Upper Semifinals,Split,1,76%,24%
VCT 2025: Pacific Stage 1,Playoffs,Upper Final,All Maps,2,51%,49%
VCT 2025: Pacific Stage 1,Playoffs,Upper Final,Lotus,1,50%,50%
VCT 2025: Pacific Stage 1,Playoffs,Upper Final,Icebox,1,52%,48%
VCT 2025: Pacific Stage 1,Playoffs,Grand Final,All Maps,4,51%,49%
VCT 2025: Pacific Stage 1,Playoffs,Grand Final,Haven,1,43%,57%
VCT 2025: Pacific Stage 1,Playoffs,Grand Final,Ascent,1,79%,21%
VCT 2025: Pacific Stage 1,Playoffs,Grand Final,Icebox,1,46%,54%
VCT 2025: Pacific Stage 1,Playoffs,Grand Final,Lotus,1,32%,68%
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,All Maps,6,50%,50%
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,Ascent,2,46%,54%
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,Fracture,1,31%,69%
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,Haven,1,68%,32%
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,Lotus,1,33%,67%
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,Pearl,1,65%,35%
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,All Maps,4,54%,46%
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,Fracture,2,58%,42%
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,Icebox,1,59%,41%
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 2,Lotus,1,39%,61%
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 3,All Maps,2,49%,51%
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 3,Lotus,1,46%,54%
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 3,Icebox,1,52%,48%
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,All Maps,5,58%,42%
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Ascent,1,63%,37%
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Fracture,1,67%,33%
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Icebox,1,44%,56%
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Pearl,1,50%,50%
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Split,1,67%,33%
VCT 2025: Pacific Stage 1,Group Stage,Week 1,All Maps,16,57%,43%
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Haven,4,59%,41%
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Pearl,3,51%,49%
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Ascent,2,49%,51%
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Fracture,2,66%,34%
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Lotus,2,70%,30%
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Split,2,36%,64%
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Icebox,1,83%,17%
VCT 2025: Pacific Stage 1,Group Stage,Week 2,All Maps,13,49%,51%
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Lotus,5,42%,58%
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Haven,2,51%,49%
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Ascent,2,44%,56%
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Icebox,2,59%,41%
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Fracture,1,47%,53%
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Split,1,71%,29%
VCT 2025: Pacific Stage 1,Group Stage,Week 3,All Maps,15,46%,54%
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Haven,3,54%,46%
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Fracture,3,43%,57%
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Lotus,3,53%,47%
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Ascent,2,38%,62%
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Split,2,50%,50%
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Icebox,1,32%,68%
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Pearl,1,39%,61%
VCT 2025: Pacific Stage 1,Group Stage,Week 4,All Maps,15,46%,54%
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Pearl,4,44%,56%
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Lotus,3,42%,58%
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Haven,2,45%,55%
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Ascent,2,49%,51%
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Icebox,2,57%,43%
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Split,2,38%,62%
VCT 2025: Pacific Stage 1,Group Stage,Week 5,All Maps,15,48%,52%
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Lotus,4,56%,44%
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Ascent,3,42%,58%
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Split,3,41%,59%
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Haven,2,66%,34%
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Fracture,1,38%,62%
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Icebox,1,32%,68%
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Pearl,1,38%,63%
VCT 2025: Pacific Stage 1,All Stages,All Match Types,All Maps,107,50%,50%
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Lotus,24,49%,51%
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Haven,16,56%,44%
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Ascent,16,46%,54%
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Icebox,14,53%,47%
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Fracture,13,51%,49%
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Pearl,12,45%,55%
VCT 2025: Pacific Stage 1,All Stages,All Match Types,Split,12,49%,51%
VCT 2025: China Stage 1,Playoffs,Upper Round 1,All Maps,4,47%,53%
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Haven,1,54%,46%
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Ascent,1,33%,67%
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Icebox,1,39%,61%
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Lotus,1,58%,42%
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,All Maps,4,49%,51%
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,Haven,2,51%,49%
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,Lotus,1,41%,59%
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,Split,1,52%,48%
VCT 2025: China Stage 1,Playoffs,Upper Final,All Maps,2,48%,52%
VCT 2025: China Stage 1,Playoffs,Upper Final,Lotus,1,58%,42%
VCT 2025: China Stage 1,Playoffs,Upper Final,Pearl,1,35%,65%
VCT 2025: China Stage 1,Playoffs,Grand Final,All Maps,4,48%,52%
VCT 2025: China Stage 1,Playoffs,Grand Final,Haven,1,42%,58%
VCT 2025: China Stage 1,Playoffs,Grand Final,Fracture,1,42%,58%
VCT 2025: China Stage 1,Playoffs,Grand Final,Lotus,1,48%,52%
VCT 2025: China Stage 1,Playoffs,Grand Final,Pearl,1,62%,38%
VCT 2025: China Stage 1,Playoffs,Lower Round 1,All Maps,5,47%,53%
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Lotus,2,37%,63%
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Ascent,1,21%,79%
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Fracture,1,58%,42%
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Split,1,68%,32%
VCT 2025: China Stage 1,Playoffs,Lower Round 2,All Maps,5,54%,46%
VCT 2025: China Stage 1,Playoffs,Lower Round 2,Lotus,2,58%,42%
VCT 2025: China Stage 1,Playoffs,Lower Round 2,Ascent,1,29%,71%
VCT 2025: China Stage 1,Playoffs,Lower Round 2,Fracture,1,71%,29%
VCT 2025: China Stage 1,Playoffs,Lower Round 2,Split,1,54%,46%
VCT 2025: China Stage 1,Playoffs,Lower Round 3,All Maps,3,56%,44%
VCT 2025: China Stage 1,Playoffs,Lower Round 3,Fracture,1,48%,52%
VCT 2025: China Stage 1,Playoffs,Lower Round 3,Icebox,1,67%,33%
VCT 2025: China Stage 1,Playoffs,Lower Round 3,Pearl,1,54%,46%
VCT 2025: China Stage 1,Playoffs,Lower Final,All Maps,3,41%,59%
VCT 2025: China Stage 1,Playoffs,Lower Final,Lotus,1,29%,71%
VCT 2025: China Stage 1,Playoffs,Lower Final,Icebox,1,65%,35%
VCT 2025: China Stage 1,Playoffs,Lower Final,Pearl,1,32%,68%
VCT 2025: China Stage 1,Group Stage,Week 1,All Maps,14,58%,42%
VCT 2025: China Stage 1,Group Stage,Week 1,Haven,3,55%,45%
VCT 2025: China Stage 1,Group Stage,Week 1,Fracture,3,62%,38%
VCT 2025: China Stage 1,Group Stage,Week 1,Pearl,3,60%,40%
VCT 2025: China Stage 1,Group Stage,Week 1,Icebox,2,65%,35%
VCT 2025: China Stage 1,Group Stage,Week 1,Lotus,2,57%,43%
VCT 2025: China Stage 1,Group Stage,Week 1,Split,1,21%,79%
VCT 2025: China Stage 1,Group Stage,Week 2,All Maps,15,55%,45%
VCT 2025: China Stage 1,Group Stage,Week 2,Fracture,5,59%,41%
VCT 2025: China Stage 1,Group Stage,Week 2,Icebox,3,53%,47%
VCT 2025: China Stage 1,Group Stage,Week 2,Pearl,3,49%,51%
VCT 2025: China Stage 1,Group Stage,Week 2,Lotus,2,59%,41%
VCT 2025: China Stage 1,Group Stage,Week 2,Ascent,1,54%,46%
VCT 2025: China Stage 1,Group Stage,Week 2,Haven,1,41%,59%
VCT 2025: China Stage 1,Group Stage,Week 3,All Maps,14,51%,49%
VCT 2025: China Stage 1,Group Stage,Week 3,Icebox,4,47%,53%
VCT 2025: China Stage 1,Group Stage,Week 3,Fracture,3,62%,38%
VCT 2025: China Stage 1,Group Stage,Week 3,Pearl,2,35%,65%
VCT 2025: China Stage 1,Group Stage,Week 3,Split,2,49%,51%
VCT 2025: China Stage 1,Group Stage,Week 3,Ascent,1,50%,50%
VCT 2025: China Stage 1,Group Stage,Week 3,Haven,1,63%,38%
VCT 2025: China Stage 1,Group Stage,Week 3,Lotus,1,55%,45%
VCT 2025: China Stage 1,Group Stage,Week 4,All Maps,16,50%,50%
VCT 2025: China Stage 1,Group Stage,Week 4,Lotus,3,49%,51%
VCT 2025: China Stage 1,Group Stage,Week 4,Haven,3,61%,39%
VCT 2025: China Stage 1,Group Stage,Week 4,Pearl,3,56%,44%
VCT 2025: China Stage 1,Group Stage,Week 4,Split,3,41%,59%
VCT 2025: China Stage 1,Group Stage,Week 4,Ascent,2,41%,59%
VCT 2025: China Stage 1,Group Stage,Week 4,Icebox,2,47%,53%
VCT 2025: China Stage 1,Group Stage,Week 5,All Maps,16,46%,54%
VCT 2025: China Stage 1,Group Stage,Week 5,Fracture,5,43%,57%
VCT 2025: China Stage 1,Group Stage,Week 5,Split,4,51%,49%
VCT 2025: China Stage 1,Group Stage,Week 5,Haven,2,55%,45%
VCT 2025: China Stage 1,Group Stage,Week 5,Lotus,2,42%,58%
VCT 2025: China Stage 1,Group Stage,Week 5,Ascent,1,39%,61%
VCT 2025: China Stage 1,Group Stage,Week 5,Icebox,1,54%,46%
VCT 2025: China Stage 1,Group Stage,Week 5,Pearl,1,25%,75%
VCT 2025: China Stage 1,All Stages,All Match Types,All Maps,105,51%,49%
VCT 2025: China Stage 1,All Stages,All Match Types,Fracture,20,55%,45%
VCT 2025: China Stage 1,All Stages,All Match Types,Lotus,19,50%,50%
VCT 2025: China Stage 1,All Stages,All Match Types,Pearl,16,49%,51%
VCT 2025: China Stage 1,All Stages,All Match Types,Icebox,15,53%,47%
VCT 2025: China Stage 1,All Stages,All Match Types,Haven,14,54%,46%
VCT 2025: China Stage 1,All Stages,All Match Types,Split,13,48%,52%
VCT 2025: China Stage 1,All Stages,All Match Types,Ascent,8,40%,60%
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,All Maps,4,49%,51%
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,Ascent,1,32%,68%
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,Icebox,1,41%,59%
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,Pearl,1,68%,32%
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,Split,1,52%,48%
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,5,46%,54%
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,Icebox,2,52%,48%
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,1,21%,79%
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,1,57%,43%
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,Split,1,50%,50%
VCT 2025: Americas Stage 1,Playoffs,Upper Final,All Maps,2,50%,50%
VCT 2025: Americas Stage 1,Playoffs,Upper Final,Split,1,38%,63%
VCT 2025: Americas Stage 1,Playoffs,Upper Final,Lotus,1,65%,35%
VCT 2025: Americas Stage 1,Playoffs,Grand Final,All Maps,4,56%,44%
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Haven,1,68%,32%
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Ascent,1,35%,65%
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Pearl,1,78%,22%
VCT 2025: Americas Stage 1,Playoffs,Grand Final,Split,1,41%,59%
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,All Maps,4,40%,60%
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,Fracture,2,45%,55%
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,Haven,1,29%,71%
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,Icebox,1,42%,58%
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,All Maps,5,56%,44%
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,Haven,1,47%,53%
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,Icebox,1,71%,29%
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,Lotus,1,58%,42%
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,Pearl,1,50%,50%
VCT 2025: Americas Stage 1,Playoffs,Lower Round 2,Split,1,50%,50%
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,All Maps,3,47%,53%
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,Lotus,1,23%,77%
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,Pearl,1,63%,38%
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,Split,1,55%,45%
VCT 2025: Americas Stage 1,Playoffs,Lower Final,All Maps,4,51%,49%
VCT 2025: Americas Stage 1,Playoffs,Lower Final,Haven,1,57%,43%
VCT 2025: Americas Stage 1,Playoffs,Lower Final,Ascent,1,38%,62%
VCT 2025: Americas Stage 1,Playoffs,Lower Final,Lotus,1,42%,58%
VCT 2025: Americas Stage 1,Playoffs,Lower Final,Split,1,65%,35%
VCT 2025: Americas Stage 1,Group Stage,Week 1,All Maps,15,56%,44%
VCT 2025: Americas Stage 1,Group Stage,Week 1,Lotus,3,65%,35%
VCT 2025: Americas Stage 1,Group Stage,Week 1,Haven,3,54%,46%
VCT 2025: Americas Stage 1,Group Stage,Week 1,Split,3,47%,53%
VCT 2025: Americas Stage 1,Group Stage,Week 1,Fracture,2,65%,35%
VCT 2025: Americas Stage 1,Group Stage,Week 1,Pearl,2,40%,60%
VCT 2025: Americas Stage 1,Group Stage,Week 1,Ascent,1,55%,45%
VCT 2025: Americas Stage 1,Group Stage,Week 1,Icebox,1,81%,19%
VCT 2025: Americas Stage 1,Group Stage,Week 2,All Maps,14,52%,48%
VCT 2025: Americas Stage 1,Group Stage,Week 2,Lotus,3,40%,60%
VCT 2025: Americas Stage 1,Group Stage,Week 2,Pearl,3,56%,44%
VCT 2025: Americas Stage 1,Group Stage,Week 2,Ascent,2,41%,59%
VCT 2025: Americas Stage 1,Group Stage,Week 2,Fracture,2,63%,38%
VCT 2025: Americas Stage 1,Group Stage,Week 2,Haven,2,55%,45%
VCT 2025: Americas Stage 1,Group Stage,Week 2,Icebox,1,71%,29%
VCT 2025: Americas Stage 1,Group Stage,Week 2,Split,1,57%,43%
VCT 2025: Americas Stage 1,Group Stage,Week 3,All Maps,15,52%,48%
VCT 2025: Americas Stage 1,Group Stage,Week 3,Pearl,4,46%,54%
VCT 2025: Americas Stage 1,Group Stage,Week 3,Haven,3,65%,35%
VCT 2025: Americas Stage 1,Group Stage,Week 3,Ascent,3,53%,47%
VCT 2025: Americas Stage 1,Group Stage,Week 3,Icebox,2,65%,35%
VCT 2025: Americas Stage 1,Group Stage,Week 3,Lotus,2,24%,76%
VCT 2025: Americas Stage 1,Group Stage,Week 3,Split,1,52%,48%
VCT 2025: Americas Stage 1,Group Stage,Week 4,All Maps,14,51%,49%
VCT 2025: Americas Stage 1,Group Stage,Week 4,Lotus,4,61%,39%
VCT 2025: Americas Stage 1,Group Stage,Week 4,Haven,3,39%,61%
VCT 2025: Americas Stage 1,Group Stage,Week 4,Icebox,2,49%,51%
VCT 2025: Americas Stage 1,Group Stage,Week 4,Pearl,2,53%,47%
VCT 2025: Americas Stage 1,Group Stage,Week 4,Ascent,1,50%,50%
VCT 2025: Americas Stage 1,Group Stage,Week 4,Fracture,1,38%,63%
VCT 2025: Americas Stage 1,Group Stage,Week 4,Split,1,52%,48%
VCT 2025: Americas Stage 1,Group Stage,Week 5,All Maps,15,49%,51%
VCT 2025: Americas Stage 1,Group Stage,Week 5,Icebox,4,43%,57%
VCT 2025: Americas Stage 1,Group Stage,Week 5,Pearl,3,52%,48%
VCT 2025: Americas Stage 1,Group Stage,Week 5,Haven,2,59%,41%
VCT 2025: Americas Stage 1,Group Stage,Week 5,Fracture,2,43%,57%
VCT 2025: Americas Stage 1,Group Stage,Week 5,Split,2,38%,62%
VCT 2025: Americas Stage 1,Group Stage,Week 5,Ascent,1,77%,23%
VCT 2025: Americas Stage 1,Group Stage,Week 5,Lotus,1,54%,46%
VCT 2025: Americas Stage 1,All Stages,All Match Types,All Maps,104,51%,49%
VCT 2025: Americas Stage 1,All Stages,All Match Types,Lotus,18,51%,49%
VCT 2025: Americas Stage 1,All Stages,All Match Types,Pearl,18,53%,47%
VCT 2025: Americas Stage 1,All Stages,All Match Types,Haven,17,53%,47%
VCT 2025: Americas Stage 1,All Stages,All Match Types,Icebox,15,55%,45%
VCT 2025: Americas Stage 1,All Stages,All Match Types,Split,15,49%,51%
VCT 2025: Americas Stage 1,All Stages,All Match Types,Ascent,12,45%,55%
VCT 2025: Americas Stage 1,All Stages,All Match Types,Fracture,9,51%,49%
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,All Maps,5,55%,45%
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,Bind,2,58%,42%
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,Lotus,1,41%,59%
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,Pearl,1,46%,54%
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,Split,1,75%,25%
Valorant Masters Bangkok 2025,Playoffs,Upper Final,All Maps,2,49%,51%
Valorant Masters Bangkok 2025,Playoffs,Upper Final,Split,1,45%,55%
Valorant Masters Bangkok 2025,Playoffs,Upper Final,Lotus,1,52%,48%
Valorant Masters Bangkok 2025,Playoffs,Grand Final,All Maps,5,49%,51%
Valorant Masters Bangkok 2025,Playoffs,Grand Final,Haven,1,59%,41%
Valorant Masters Bangkok 2025,Playoffs,Grand Final,Abyss,1,71%,29%
Valorant Masters Bangkok 2025,Playoffs,Grand Final,Lotus,1,50%,50%
Valorant Masters Bangkok 2025,Playoffs,Grand Final,Pearl,1,33%,67%
Valorant Masters Bangkok 2025,Playoffs,Grand Final,Split,1,33%,67%
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,All Maps,3,54%,46%
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,Lotus,1,67%,33%
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,Haven,1,53%,47%
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,Split,1,39%,61%
Valorant Masters Bangkok 2025,Playoffs,Lower Final,All Maps,4,60%,40%
Valorant Masters Bangkok 2025,Playoffs,Lower Final,Bind,1,41%,59%
Valorant Masters Bangkok 2025,Playoffs,Lower Final,Fracture,1,58%,42%
Valorant Masters Bangkok 2025,Playoffs,Lower Final,Haven,1,74%,26%
Valorant Masters Bangkok 2025,Playoffs,Lower Final,Split,1,61%,39%
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,All Maps,8,48%,52%
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,Lotus,2,51%,49%
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,Abyss,1,44%,56%
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,Bind,1,50%,50%
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,Fracture,1,35%,65%
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,Haven,1,57%,43%
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,Pearl,1,42%,58%
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,Split,1,50%,50%
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),All Maps,6,45%,55%
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),Bind,2,43%,57%
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),Abyss,1,54%,46%
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),Fracture,1,18%,82%
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),Pearl,1,50%,50%
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),Split,1,54%,46%
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),All Maps,5,46%,54%
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Lotus,2,50%,50%
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Abyss,1,42%,58%
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Bind,1,21%,79%
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Haven,1,62%,38%
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,All Maps,4,51%,49%
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,Haven,1,50%,50%
