player_name,popularity_score,reputation_score,videos_found,total_views,average_engagement_rate,comment_count,article_count
GuanG,0,50,0,0,0,0,0
Ezeir,0,50,0,0,0,0,0
Babyblue,0,50,0,0,0,0,0
kklin,0,50,0,0,0,0,0
Z1yan,0,50,0,0,0,0,0
stew,0,50,0,0,0,0,0
o0o0o,0,50,0,0,0,0,0
Midi,0,74.96,0,0,0,0,1
sheydos,0,50,0,0,0,0,0
Khalil,0,50,0,0,0,0,0
soulcas,0,50,0,0,0,0,0
Add3r,0,50,0,0,0,0,0
SyouTa,0,50,0,0,0,0,0
mindfreak,0,74.91,0,0,0,0,7
jakee,0,50,0,0,0,0,0
Suggest,0,58.99,0,0,0,0,6
bdog,0,50,0,0,0,0,0
hype,0,74.84,0,0,0,0,9
Deryeon,0,74.59,0,0,0,0,1
oderus,0,50,0,0,0,0,0
Boostio,0,65.03,0,0,0,0,5
FiNESSE,0,50,0,0,0,0,0
v1nny,0,50,0,0,0,0,0
vakk,0,50,0,0,0,0,0
carpe,0,50,0,0,0,0,0
PxS,0,50,0,0,0,0,0
raafa,0,50,0,0,0,0,0
Zap,0,50,0,0,0,0,0
havoc,0,74.99,0,0,0,0,1
Askia,0,50,0,0,0,0,0
stellar,0,74.99,0,0,0,0,3
nzr,0,50,0,0,0,0,0
mwzera,0,50,0,0,0,0,0
Click,0,74.95,0,0,0,0,9
bunt,0,50,0,0,0,0,0
runneR,0,74.78,0,0,0,0,11
Dynamite,0,50,0,0,0,0,0
tomaszy,0,50,0,0,0,0,0
B1ack,0,50,0,0,0,0,0
purp0,0,74.96,0,0,0,0,1
Governor,0,50,0,0,0,0,0
florescent,0,25.23,0,0,0,0,1
Kada,0,50,0,0,0,0,0
Art,0,74.95,0,0,0,0,9
Zyppan,0,50,0,0,0,0,0
nizhaoTZH,0,50,0,0,0,0,0
Eren,0,50,0,0,0,0,0
Sylvan,0,74.69,0,0,0,0,3
margaret,0,50,0,0,0,0,0
2GE,0,50,0,0,0,0,0
Jremy,0,50,0,0,0,0,0
yokam,0,50,0,0,0,0,0
lucas,0,74.72,0,0,0,0,1
Palla,0,50,0,0,0,0,0
Abo,0,50,0,0,0,0,0
heat,0,74.8,0,0,0,0,1
icy,0,74.99,0,0,0,0,1
supamen,0,50,0,0,0,0,0
Shyy,0,50,0,0,0,0,0
Mazino,0,74.68,0,0,0,0,3
Dantedeu5,0,50,0,0,0,0,0
silentzz,0,50,0,0,0,0,0
spike,0,65.19,0,0,0,0,11
lz,0,50,0,0,0,0,0
pANcada,0,74.95,0,0,0,0,2
v1c,0,74.86,0,0,0,0,1
lukxo,0,50,0,0,0,0,0
cauanzin,0,50,0,0,0,0,0
Virtyy,0,50,0,0,0,0,0
RobbieBk,0,74.86,0,0,0,0,2
Persia,0,50,0,0,0,0,0
Rb,0,71.79,0,0,0,0,1
JitBoyS,0,50,0,0,0,0,0
primmie,0,74.03,0,0,0,0,1
yay,0,74.9,0,0,0,0,5
OXY,0,50,0,0,0,0,0
AAAAY,0,50,0,0,0,0,0
qRaxs,0,50,0,0,0,0,0
Kicks,0,74.08,0,0,0,0,6
Sayf,0,50,0,0,0,0,0
Derke,0,74.64,0,0,0,0,12
kamyk,0,75,0,0,0,0,1
ComeBack,0,71.22,0,0,0,0,35
Elite,0,72.55,0,0,0,0,21
nataNk,0,50,0,0,0,0,0
Filu,0,74.81,0,0,0,0,2
MrFaliN,0,50,0,0,0,0,0
mitch,0,74.61,0,0,0,0,2
batujnax,0,50,0,0,0,0,0
BABYBAY,0,74.9,0,0,0,0,3
tex,0,74.88,0,0,0,0,3
Okeanos,0,74.86,0,0,0,0,2
kiNgg,0,50,0,0,0,0,0
zander,0,74.86,0,0,0,0,2
eeiu,0,74.79,0,0,0,0,2
Cryocells,0,74.72,0,0,0,0,1
Killua,0,50,0,0,0,0,0
Crws,0,50,0,0,0,0,0
Estrella,0,74.97,0,0,0,0,1
Ninebody,0,50,0,0,0,0,0
vo0kashu,0,74.67,0,0,0,0,3
Shr1mp,0,50,0,0,0,0,0
Spitfires,0,50,0,0,0,0,0
HanChe,0,50,0,0,0,0,0
deLb,0,50,0,0,0,0,0
K1ra,0,50,0,0,0,0,0
sword9,0,50,0,0,0,0,0
slowly,0,66.63,0,0,0,0,12
Yoyo,0,50,0,0,0,0,0
Ash,0,50,0,0,0,0,0
FengF,0,50,0,0,0,0,0
MarT1n,0,50,0,0,0,0,0
Biank,0,50,0,0,0,0,0
Kai,0,74.94,0,0,0,0,6
yosemite,0,50,0,0,0,0,0
Life,0,74.09,0,0,0,0,26
Autumn,0,74.72,0,0,0,0,2
BerLIN,0,74.45,0,0,0,0,11
JessieVash,0,50,0,0,0,0,0
Famouz,0,50,0,0,0,0,0
Shiro,0,50,0,0,0,0,0
NcSlasher,0,50,0,0,0,0,0
Karon,0,74.85,0,0,0,0,1
Jinboong,0,50,0,0,0,0,0
Akame,0,50,0,0,0,0,0
SSeeS,0,50,0,0,0,0,0
Papi,0,74.78,0,0,0,0,2
ban,0,66.3,0,0,0,0,9
Kr1stal,0,74.76,0,0,0,0,2
UdoTan,0,74.59,0,0,0,0,1
kellyS,0,50,0,0,0,0,0
n1zzy,0,50,0,0,0,0,0
Wild0reoo,0,50,0,0,0,0,0
ZesBeeW,0,50,0,0,0,0,0
SugarZ3ro,0,50,0,0,0,0,0
TenTen,0,74.07,0,0,0,0,4
Dep,0,50,0,0,0,0,0
dos9,0,74.86,0,0,0,0,2
BerserX,0,50,0,0,0,0,0
TenZ,0,74.53,0,0,0,0,10
