tournament,stage,match_type,match_name,map,type,initiated,won,team_id
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Eco (won),4,0,13581
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,Pistol Won,0,2,11981
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,$$$ (won),20,15,14
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,Abyss,Pistol Won,0,1,7386
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Lotus,Pistol Won,0,1,
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Sunset,$$ (won),9,3,2593
VCT 2025: Americas Stage 2,Group Stage,Week 2,Cloud9 vs Evil Geniuses,Haven,Eco (won),3,2,5248
VCT 2025: Americas Stage 2,Group Stage,Week 2,MIBR vs LEVIATÁN,Sunset,$$ (won),2,0,7386
VCT 2025: Americas Stage 2,Group Stage,Week 3,G2 Esports vs Evil Geniuses,Corrode,Pistol Won,0,1,5248
VCT 2025: Americas Stage 2,Group Stage,Week 5,KRÜ Esports vs NRG,Sunset,$ (won),1,0,
VCT 2025: Americas Stage 2,Group Stage,Week 5,100 Thieves vs LEVIATÁN,Sunset,Pistol Won,0,1,120
VCT 2025: Americas Stage 2,Group Stage,Week 5,100 Thieves vs LEVIATÁN,Sunset,$ (won),1,1,120
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,LEVIATÁN vs Cloud9,Haven,Pistol Won,0,1,188
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Sentinels vs Cloud9,Corrode,$$ (won),4,3,2
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,NRG vs G2 Esports,All Maps,$ (won),5,4,11058
VCT 2025: Americas Stage 2,Playoffs,Lower Final,Sentinels vs NRG,Sunset,$$ (won),7,4,2
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Lotus,Pistol Won,0,0,
VCT 2025: EMEA Stage 2,Group Stage,Week 3,FUT Esports vs GIANTX,All Maps,$ (won),3,0,14419
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Gentle Mates vs BBL Esports,All Maps,$$$ (won),27,18,397
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Natus Vincere vs FNATIC,All Maps,Pistol Won,0,3,4915
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Vitality vs Team Heretics,Ascent,$$$ (won),11,5,2059
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Vitality vs Team Heretics,Ascent,$$$ (won),13,9,1001
VCT 2025: EMEA Stage 2,Group Stage,Week 4,KOI vs Apeks,Haven,$$ (won),5,4,7035
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Gentle Mates vs GIANTX,Corrode,$ (won),1,0,12694
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Gentle Mates vs GIANTX,All Maps,Pistol Won,0,2,12694
VCT 2025: EMEA Stage 2,Playoffs,Upper Final,BBL Esports vs Team Liquid,Ascent,$ (won),1,1,397
VCT 2025: Pacific Stage 2,Group Stage,Week 1,T1 vs Paper Rex,All Maps,$$$ (won),35,15,14
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Global Esports vs Team Secret,All Maps,$ (won),5,0,6199
VCT 2025: Pacific Stage 2,Group Stage,Week 2,Gen.G vs Global Esports,Haven,$$$ (won),4,0,918
VCT 2025: Pacific Stage 2,Group Stage,Week 2,T1 vs ZETA DIVISION,All Maps,$ (won),2,1,14
VCT 2025: Pacific Stage 2,Group Stage,Week 4,TALON vs Paper Rex,Bind,$$ (won),2,2,624
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,TALON vs Nongshim RedForce,All Maps,Pistol Won,0,2,8304
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs T1,All Maps,Pistol Won,0,1,14
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Rex Regum Qeon vs Gen.G,Corrode,$ (won),4,1,17
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 3,T1 vs Rex Regum Qeon,Sunset,Pistol Won,0,1,14
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 3,T1 vs Rex Regum Qeon,Haven,$$$ (won),19,12,878
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Pearl,$$ (won),3,0,1001
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Heretics vs Wolves Esports,Pearl,Pistol Won,0,2,13790
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,All Maps,$$ (won),7,2,13581
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Lotus,$$$ (won),6,1,878
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,$ (won),2,0,17
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Heretics vs GIANTX,Lotus,$ (won),3,1,1001
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Team Vitality vs Apeks,Ascent,$$ (won),7,4,11479
VCT 2025: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,Haven,Eco (won),3,1,2593
VCT 2025: EMEA Stage 1,Playoffs,Upper Round 1,FNATIC vs FUT Esports,All Maps,$$$ (won),27,18,2593
VCT 2025: EMEA Stage 1,Playoffs,Upper Semifinals,Team Liquid vs FNATIC,All Maps,$ (won),3,0,474
VCT 2025: Pacific Stage 1,Group Stage,Week 1,DRX vs Paper Rex,Haven,$$ (won),7,3,624
VCT 2025: Pacific Stage 1,Group Stage,Week 1,Gen.G vs BOOM Esports,Haven,$$ (won),6,3,466
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Rex Regum Qeon vs ZETA DIVISION,All Maps,Eco (won),7,1,5448
VCT 2025: Pacific Stage 1,Group Stage,Week 3,TALON vs Nongshim RedForce,Fracture,$$$ (won),12,9,8304
VCT 2025: Pacific Stage 1,Group Stage,Week 4,Nongshim RedForce vs Team Secret,Pearl,Eco (won),3,1,11060
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Global Esports,Lotus,$ (won),0,0,918
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Paper Rex vs Global Esports,All Maps,Pistol Won,0,1,918
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 1,TALON vs Nongshim RedForce,Ascent,$$$ (won),15,12,8304
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Pearl,$ (won),3,2,878
VCT 2025: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Evil Geniuses,Fracture,Eco (won),2,2,5248
VCT 2025: Americas Stage 1,Group Stage,Week 3,2Game Esports vs KRÜ Esports,Pearl,$ (won),1,0,2355
VCT 2025: Americas Stage 1,Group Stage,Week 3,FURIA vs LEVIATÁN,Ascent,$$ (won),5,5,2359
VCT 2025: Americas Stage 1,Group Stage,Week 3,Cloud9 vs MIBR,All Maps,$$$ (won),36,21,7386
VCT 2025: Americas Stage 1,Group Stage,Week 5,KRÜ Esports vs 100 Thieves,Fracture,$ (won),1,0,2355
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,MIBR vs 100 Thieves,Split,Pistol Won,0,0,120
VCT 2025: Americas Stage 1,Playoffs,Upper Final,MIBR vs Sentinels,All Maps,$$$ (won),22,8,7386
VCT 2025: Americas Stage 1,Playoffs,Lower Round 3,G2 Esports vs Evil Geniuses,Lotus,$$$ (won),13,8,5248
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,Team Vitality vs T1,Bind,Eco (won),3,1,2059
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,Abyss,$$$ (won),12,4,2059
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),EDward Gaming vs G2 Esports,Bind,$ (won),2,0,1120
Valorant Masters Bangkok 2025,Playoffs,Lower Final,EDward Gaming vs T1,Haven,$$$ (won),13,7,1120
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Bind,$$ (won),4,2,474
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Team Liquid vs Apeks,All Maps,$$$ (won),35,15,11479
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,Global Esports vs Team Secret,Abyss,$ (won),2,1,918
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Paper Rex vs T1,Bind,Eco (won),3,1,624
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,Nongshim RedForce vs Rex Regum Qeon,Lotus,$$$ (won),31,15,878
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,DetonatioN FocusMe vs Paper Rex,Pearl,$$ (won),4,4,278
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,TALON vs Nongshim RedForce,Split,Pistol Won,0,2,8304
VCT 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Bind,$ (won),1,0,17
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,Pearl,$$ (won),7,5,2
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,$$$ (won),24,13,474
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,All Maps,$$ (won),9,6,474
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Abyss,Pistol Won,0,2,2
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Abyss,Eco (won),3,1,878
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,All Maps,Pistol Won,0,3,14419
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Bind,Pistol Won,0,1,1001
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,Ascent,$$ (won),5,0,7386
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,Ascent,$$ (won),3,3,2355
VCT 2025: Americas Stage 2,Group Stage,Week 2,100 Thieves vs KRÜ Esports,Bind,$ (won),1,0,2355
VCT 2025: Americas Stage 2,Group Stage,Week 2,NRG vs LOUD,Corrode,Eco (won),4,0,
VCT 2025: Americas Stage 2,Group Stage,Week 2,Cloud9 vs Evil Geniuses,Haven,$ (won),1,0,188
VCT 2025: Americas Stage 2,Group Stage,Week 2,Cloud9 vs Evil Geniuses,Haven,Pistol Won,0,2,5248
VCT 2025: Americas Stage 2,Group Stage,Week 3,LOUD vs KRÜ Esports,Bind,$$ (won),8,4,2355
VCT 2025: Americas Stage 2,Group Stage,Week 5,100 Thieves vs LEVIATÁN,Lotus,Pistol Won,0,2,2359
VCT 2025: Americas Stage 2,Group Stage,Week 5,100 Thieves vs LEVIATÁN,All Maps,$$ (won),13,4,120
VCT 2025: Americas Stage 2,Group Stage,Week 5,2Game Esports vs Sentinels,Sunset,$$ (won),5,4,15072
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,LEVIATÁN vs KRÜ Esports,Sunset,$ (won),1,1,2355
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,Cloud9 vs 100 Thieves,Icebox,$$ (won),6,2,188
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Icebox,Eco (won),3,1,397
VCT 2025: EMEA Stage 2,Group Stage,Week 4,FUT Esports vs Team Heretics,All Maps,$ (won),0,0,1001
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Gentle Mates vs GIANTX,Haven,$$$ (won),10,7,14419
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,FNATIC vs BBL Esports,Ascent,$ (won),1,0,2593
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Gen.G,All Maps,Pistol Won,0,2,17
VCT 2025: Pacific Stage 2,Group Stage,Week 1,TALON vs ZETA DIVISION,Icebox,Pistol Won,0,0,5448
VCT 2025: Pacific Stage 2,Group Stage,Week 1,TALON vs ZETA DIVISION,Bind,$$$ (won),7,3,5448
VCT 2025: Pacific Stage 2,Group Stage,Week 2,BOOM Esports vs Paper Rex,All Maps,$ (won),4,1,466
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Paper Rex vs ZETA DIVISION,Lotus,$ (won),1,0,624
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Paper Rex vs ZETA DIVISION,Sunset,$ (won),0,0,5448
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 2,DRX vs Rex Regum Qeon,Corrode,$$$ (won),10,4,8185
VCT 2025: Pacific Stage 2,Showmatch,Main Event,Team World vs Glory Once Again,Corrode,$$ (won),3,2,19550
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,G2 Esports vs Paper Rex,Lotus,$ (won),1,0,11058
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Heretics vs Apeks,Icebox,$ (won),2,0,11479
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Liquid vs Gentle Mates,All Maps,$ (won),4,1,12694
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Liquid vs BBL Esports,Ascent,$$ (won),3,1,397
VCT 2025: EMEA Stage 1,Group Stage,Week 2,FUT Esports vs Gentle Mates,Icebox,$$$ (won),13,4,1184
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Heretics vs GIANTX,Split,$ (won),2,1,14419
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Apeks vs FNATIC,All Maps,$$ (won),7,4,2593
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Gentle Mates vs KOI,All Maps,Pistol Won,0,0,12694
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Gentle Mates vs KOI,All Maps,Eco (won),12,0,12694
VCT 2025: EMEA Stage 1,Playoffs,Upper Round 1,BBL Esports vs Natus Vincere,Fracture,Eco (won),2,2,4915
VCT 2025: EMEA Stage 1,Playoffs,Upper Final,Team Heretics vs FNATIC,Icebox,Pistol Won,0,1,1001
VCT 2025: Pacific Stage 1,Group Stage,Week 1,DRX vs Paper Rex,Haven,$$ (won),2,2,8185
VCT 2025: Pacific Stage 1,Group Stage,Week 2,TALON vs Rex Regum Qeon,Ascent,$ (won),0,0,878
VCT 2025: Pacific Stage 1,Group Stage,Week 2,BOOM Esports vs Global Esports,Haven,$ (won),3,0,918
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Paper Rex vs BOOM Esports,Pearl,$ (won),2,0,466
VCT 2025: Pacific Stage 1,Group Stage,Week 3,Paper Rex vs BOOM Esports,All Maps,Pistol Won,0,3,466
VCT 2025: Pacific Stage 1,Group Stage,Week 4,TALON vs ZETA DIVISION,All Maps,$$$ (won),24,17,5448
VCT 2025: Pacific Stage 1,Group Stage,Week 5,DRX vs Gen.G,Lotus,Pistol Won,0,2,8185
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs Team Secret,All Maps,$ (won),4,1,6199
VCT 2025: Pacific Stage 1,Playoffs,Upper Final,Gen.G vs Rex Regum Qeon,Lotus,$ (won),1,0,878
VCT 2025: Pacific Stage 1,Playoffs,Lower Round 3,DRX vs Paper Rex,Lotus,$$ (won),4,2,8185
VCT 2025: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,All Maps,Eco (won),8,1,5248
VCT 2025: Americas Stage 1,Group Stage,Week 3,100 Thieves vs LOUD,Split,$ (won),1,0,120
VCT 2025: Americas Stage 1,Group Stage,Week 3,100 Thieves vs LOUD,All Maps,$$$ (won),35,20,6961
VCT 2025: Americas Stage 1,Group Stage,Week 3,Cloud9 vs MIBR,All Maps,$$ (won),17,8,188
VCT 2025: Americas Stage 1,Group Stage,Week 5,MIBR vs FURIA,Ascent,Eco (won),2,2,7386
VCT 2025: Americas Stage 1,Group Stage,Week 5,LEVIATÁN vs NRG,Fracture,$$$ (won),14,7,
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,MIBR vs 100 Thieves,Icebox,$$ (won),3,3,7386
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,Cloud9 vs Evil Geniuses,Icebox,Eco (won),3,1,5248
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,KRÜ Esports vs MIBR,Icebox,Eco (won),3,1,2355
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,KRÜ Esports vs MIBR,Icebox,$ (won),0,0,7386
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,G2 Esports vs Sentinels,Icebox,Pistol Won,0,2,11058
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,EDward Gaming vs T1,Pearl,$$ (won),8,3,14
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,All Maps,$$$ (won),38,17,2593
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,BOOM Esports vs T1,Pearl,Eco (won),3,1,14
VCT 2025: Pacific Kickoff,Main Event,Upper Round 1,BOOM Esports vs T1,Fracture,$$ (won),7,2,466
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Gen.G vs Rex Regum Qeon,All Maps,Pistol Won,0,4,878
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Rex Regum Qeon vs Team Secret,Haven,$$$ (won),10,4,6199
VCT 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Pearl,Eco (won),2,2,14
VCT 2025: Pacific Kickoff,Main Event,Grand Final,DRX vs T1,All Maps,Pistol Won,0,5,8185
VCT 2025: Pacific Kickoff,Main Event,Grand Final,DRX vs T1,All Maps,$$$ (won),62,31,14
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Evil Geniuses vs LOUD,All Maps,$ (won),4,1,5248
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,Sentinels vs 100 Thieves,Pearl,$$$ (won),11,6,2
VCT 2025: Americas Kickoff,Main Event,Upper Quarterfinals,G2 Esports vs Cloud9,Abyss,Pistol Won,0,1,188
VCT 2025: Americas Kickoff,Main Event,Lower Round 2,Evil Geniuses vs MIBR,Abyss,$ (won),2,1,7386
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,LOUD vs KRÜ Esports,All Maps,Eco (won),6,3,2355
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Eco (won),4,2,624
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,Eco (won),4,0,474
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Lotus,$ (won),1,0,12010
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,$$$ (won),10,3,8185
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,Lotus,$$$ (won),10,8,2593
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,All Maps,$$ (won),14,7,2593
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,Haven,$$$ (won),7,3,
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Sunset,Eco (won),4,0,
VCT 2025: Americas Stage 2,Group Stage,Week 3,MIBR vs 100 Thieves,Icebox,Eco (won),3,2,7386
VCT 2025: Americas Stage 2,Group Stage,Week 3,G2 Esports vs Evil Geniuses,Corrode,$$$ (won),14,8,5248
VCT 2025: Americas Stage 2,Group Stage,Week 3,LOUD vs KRÜ Esports,All Maps,$$ (won),16,11,2355
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Bind,Pistol Won,0,1,11058
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Sunset,$$ (won),6,5,11479
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Sunset,Pistol Won,0,0,397
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FNATIC vs Karmine Corp,Icebox,$$ (won),5,2,8877
VCT 2025: EMEA Stage 2,Group Stage,Week 2,Apeks vs Karmine Corp,All Maps,$$$ (won),28,15,11479
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Gentle Mates vs BBL Esports,All Maps,$ (won),2,0,397
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Liquid vs Apeks,All Maps,Eco (won),10,0,11479
VCT 2025: EMEA Stage 2,Group Stage,Week 3,KOI vs Karmine Corp,Sunset,$$$ (won),5,2,7035
VCT 2025: EMEA Stage 2,Group Stage,Week 3,KOI vs Karmine Corp,All Maps,Eco (won),10,1,7035
VCT 2025: EMEA Stage 2,Group Stage,Week 4,Team Vitality vs BBL Esports,Icebox,$$ (won),2,2,397
VCT 2025: EMEA Stage 2,Group Stage,Week 5,KOI vs Natus Vincere,Corrode,$$ (won),5,2,4915
VCT 2025: EMEA Stage 2,Group Stage,Week 5,GIANTX vs Team Heretics,All Maps,$$ (won),8,6,1001
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Gentle Mates vs Team Vitality,Lotus,$$ (won),8,3,2059
VCT 2025: EMEA Stage 2,Group Stage,Week 5,FUT Esports vs BBL Esports,All Maps,Pistol Won,0,4,397
VCT 2025: EMEA Stage 2,Group Stage,Week 5,Team Liquid vs Karmine Corp,Lotus,$ (won),1,0,474
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,FNATIC vs BBL Esports,Corrode,Pistol Won,0,0,397
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Nongshim RedForce vs Team Secret,Ascent,$ (won),2,0,6199
VCT 2025: Pacific Stage 2,Group Stage,Week 1,T1 vs Paper Rex,Haven,$$ (won),8,6,14
VCT 2025: Pacific Stage 2,Group Stage,Week 1,Global Esports vs Team Secret,Bind,$$$ (won),9,3,918
VCT 2025: Pacific Stage 2,Group Stage,Week 3,TALON vs T1,Lotus,$$$ (won),10,7,8304
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Nongshim RedForce vs DetonatioN FocusMe,All Maps,$$$ (won),21,9,278
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 2,DRX vs Rex Regum Qeon,All Maps,Eco (won),7,1,8185
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 2,DRX vs Rex Regum Qeon,All Maps,$$ (won),9,6,878
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Ascent,Pistol Won,0,2,624
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,All Maps,Pistol Won,0,4,624
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Gen.G vs MIBR,Sunset,$$$ (won),7,3,7386
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,All Maps,$ (won),3,1,2593
Valorant Masters Toronto 2025,Playoffs,Lower Round 2,Sentinels vs FNATIC,Icebox,$$$ (won),15,8,2593
Valorant Masters Toronto 2025,Playoffs,Lower Final,Wolves Esports vs FNATIC,Ascent,Eco (won),4,1,13790
VCT 2025: EMEA Stage 1,Group Stage,Week 1,BBL Esports vs Karmine Corp,Icebox,Eco (won),3,1,397
VCT 2025: EMEA Stage 1,Group Stage,Week 2,Team Liquid vs BBL Esports,All Maps,$ (won),9,2,397
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Team Vitality vs Team Heretics,Icebox,$ (won),1,0,2059
VCT 2025: EMEA Stage 1,Group Stage,Week 3,Team Vitality vs Team Heretics,All Maps,$$$ (won),26,17,1001
VCT 2025: EMEA Stage 1,Group Stage,Week 4,Team Liquid vs KOI,Lotus,Eco (won),4,4,474
VCT 2025: EMEA Stage 1,Group Stage,Week 4,GIANTX vs FNATIC,Lotus,$ (won),2,0,14419
VCT 2025: EMEA Stage 1,Group Stage,Week 5,Gentle Mates vs KOI,Icebox,Eco (won),4,0,12694
VCT 2025: EMEA Stage 1,Playoffs,Lower Round 2,Team Liquid vs Natus Vincere,Icebox,Eco (won),2,1,4915
VCT 2025: Pacific Stage 1,Group Stage,Week 2,Gen.G vs Paper Rex,Haven,$ (won),0,0,17
VCT 2025: Pacific Stage 1,Group Stage,Week 2,BOOM Esports vs Global Esports,Haven,$ (won),1,1,466
VCT 2025: Pacific Stage 1,Group Stage,Week 4,DetonatioN FocusMe vs Paper Rex,Pearl,Pistol Won,0,1,624
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs Team Secret,Haven,Eco (won),4,0,878
VCT 2025: Pacific Stage 1,Group Stage,Week 5,Rex Regum Qeon vs Team Secret,Haven,$$ (won),6,2,6199
VCT 2025: Americas Stage 1,Group Stage,Week 1,2Game Esports vs Evil Geniuses,All Maps,$ (won),2,0,15072
VCT 2025: Americas Stage 1,Group Stage,Week 2,G2 Esports vs MIBR,All Maps,Eco (won),7,4,11058
VCT 2025: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,All Maps,$ (won),3,1,5248
VCT 2025: Americas Stage 1,Group Stage,Week 3,G2 Esports vs NRG,Ascent,$ (won),2,0,11058
VCT 2025: Americas Stage 1,Group Stage,Week 4,Sentinels vs LOUD,All Maps,Eco (won),10,3,6961
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,Sentinels vs Cloud9,Pearl,$ (won),2,0,188
VCT 2025: Americas Stage 1,Playoffs,Upper Round 1,Sentinels vs Cloud9,All Maps,Pistol Won,0,2,2
VCT 2025: Americas Stage 1,Playoffs,Lower Round 1,100 Thieves vs NRG,All Maps,$ (won),1,0,
VCT 2025: Americas Stage 1,Playoffs,Upper Semifinals,G2 Esports vs Sentinels,Ascent,Eco (won),4,2,2
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,Split,$$$ (won),15,7,8185
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs Sentinels,Lotus,$$$ (won),9,4,474
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs Sentinels,All Maps,Eco (won),7,5,474
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,EDward Gaming vs T1,All Maps,Eco (won),7,4,14
Valorant Masters Bangkok 2025,Playoffs,Grand Final,G2 Esports vs T1,Lotus,$$$ (won),10,6,11058
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,All Maps,$ (won),5,0,11479
VCT 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Pearl,$$$ (won),12,10,12694
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,Gentle Mates vs FNATIC,Abyss,Eco (won),3,1,2593
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,Gentle Mates vs FNATIC,Fracture,$$ (won),9,4,12694
VCT 2025: EMEA Kickoff,Main Event,Lower Final,Team Heretics vs Team Liquid,Lotus,$ (won),0,0,474
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Rex Regum Qeon vs Team Secret,Lotus,$$$ (won),14,9,6199
VCT 2025: Pacific Kickoff,Main Event,Upper Semifinals,T1 vs TALON,Fracture,Pistol Won,0,1,14
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,TALON vs Nongshim RedForce,All Maps,$$ (won),16,6,11060
VCT 2025: Pacific Kickoff,Main Event,Lower Round 3,Gen.G vs DetonatioN FocusMe,All Maps,$$$ (won),11,1,278
VCT 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,All Maps,Pistol Won,0,5,17
VCT 2025: Americas Kickoff,Main Event,Upper Round 1,Evil Geniuses vs LOUD,Pearl,$$$ (won),15,10,6961
