tournament,stage,match_type,match_name,map,type,initiated,won,team_id
VCT 2025: Americas Stage 1,Group Stage,Week 4,Sentinels vs LOUD,Haven,$ (won),1,0,2
VCT 2025: Americas Stage 1,Group Stage,Week 4,NRG vs MIBR,All Maps,Pistol Won,0,1,7386
Valorant Masters Bangkok 2025,Playoffs,Grand Final,G2 Esports vs T1,Lotus,$$ (won),6,6,11058
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Haven,$ (won),2,1,14419
VCT 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,All Maps,$$$ (won),35,16,7035
VCT 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FUT Esports vs Team Liquid,Fracture,$$ (won),4,4,1184
VCT 2025: EMEA Kickoff,Main Event,Lower Round 2,GIANTX vs Team Liquid,Split,Eco (won),3,1,14419
VCT 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Haven,Pistol Won,0,1,474
VCT 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Paper Rex vs T1,Bind,Pistol Won,0,1,14
VCT 2025: Pacific Kickoff,Main Event,Lower Round 1,Paper Rex vs ZETA DIVISION,Fracture,Eco (won),3,1,5448
VCT 2025: Pacific Kickoff,Main Event,Lower Round 2,DetonatioN FocusMe vs Paper Rex,Abyss,$ (won),1,0,624
VCT 2025: Pacific Kickoff,Main Event,Upper Final,T1 vs DRX,Fracture,Pistol Won,0,2,8185
VCT 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Pearl,$$ (won),5,2,17
VCT 2025: Pacific Kickoff,Main Event,Grand Final,DRX vs T1,Fracture,Pistol Won,0,0,14
VCT 2025: Americas Kickoff,Main Event,Lower Round 3,LEVIATÁN vs MIBR,Pearl,Pistol Won,0,1,2359
VCT 2025: Americas Kickoff,Main Event,Lower Final,Sentinels vs MIBR,Lotus,Eco (won),3,2,2
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,Eco (won),3,1,14419
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,Pistol Won,0,3,14419
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,All Maps,$ (won),5,2,14419
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,All Maps,$ (won),4,2,14419
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,All Maps,$ (won),7,1,11058
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Haven,$ (won),3,0,8185
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Lotus,Eco (won),4,1,1001
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,Haven,$$ (won),4,2,7386
VCT 2025: Americas Stage 2,Group Stage,Week 3,LOUD vs KRÜ Esports,Haven,Eco (won),4,0,6961
VCT 2025: Americas Stage 2,Group Stage,Week 4,Cloud9 vs 2Game Esports,Lotus,$$ (won),4,3,15072
VCT 2025: Americas Stage 2,Group Stage,Week 4,LEVIATÁN vs KRÜ Esports,Bind,$ (won),3,0,2359
VCT 2025: Americas Stage 2,Group Stage,Week 4,FURIA vs G2 Esports,All Maps,Eco (won),5,4,11058
VCT 2025: Americas Stage 2,Group Stage,Week 5,FURIA vs Evil Geniuses,Corrode,Pistol Won,0,1,2406
VCT 2025: Americas Stage 2,Group Stage,Week 5,FURIA vs Evil Geniuses,Corrode,Eco (won),3,2,5248
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Sentinels vs Cloud9,Corrode,$$ (won),4,3,188
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,Cloud9 vs 100 Thieves,Icebox,$ (won),2,2,188
VCT 2025: Americas Stage 2,Playoffs,Upper Final,Sentinels vs G2 Esports,Bind,$$ (won),5,2,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Sunset,$$$ (won),10,5,11479
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,All Maps,$ (won),3,0,12694
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,Corrode,Pistol Won,0,1,397
VCT 2025: EMEA Stage 2,Group Stage,Week 2,GIANTX vs BBL Esports,All Maps,$ (won),2,0,14419
VCT 2025: EMEA Stage 2,Group Stage,Week 2,FUT Esports vs Team Vitality,Lotus,$ (won),1,0,2059
VCT 2025: EMEA Stage 2,Group Stage,Week 3,Team Vitality vs Team Heretics,Ascent,Eco (won),3,1,2059
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,FNATIC vs Karmine Corp,Corrode,$$$ (won),18,9,8877
VCT 2025: Pacific Stage 2,Group Stage,Week 1,DRX vs Gen.G,All Maps,$ (won),1,1,17
VCT 2025: Pacific Stage 2,Group Stage,Week 1,TALON vs ZETA DIVISION,Bind,Pistol Won,0,1,8304
VCT 2025: Pacific Stage 2,Group Stage,Week 3,Nongshim RedForce vs Global Esports,Corrode,Eco (won),3,0,918
VCT 2025: Pacific Stage 2,Group Stage,Week 4,TALON vs Paper Rex,Icebox,Pistol Won,0,1,624
VCT 2025: Pacific Stage 2,Group Stage,Week 4,T1 vs DetonatioN FocusMe,All Maps,$$ (won),17,7,278
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs T1,All Maps,$ (won),3,2,14
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Bilibili Gaming vs Sentinels,Icebox,Eco (won),5,0,2
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Heretics vs Wolves Esports,All Maps,$$ (won),11,7,13790
Valorant Masters Toronto 2025,Playoffs,Lower Final,Wolves Esports vs FNATIC,Split,$ (won),3,1,13790
Valorant Masters Toronto 2025,Playoffs,Grand Final,Paper Rex vs FNATIC,Lotus,$$$ (won),15,9,624
VCT 2025: EMEA Stage 1,Group Stage,Week 1,Team Vitality vs GIANTX,Split,$ (won),2,1,2059
